feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
qa1,fwd_mid_3s,1691821,97,0.48829024886489386,-0.4548293781411148,-1.136919673347251,0.07653939274502282,-14.854046165935676,-0.9999999999999999,0.11747223849331578,10,3 板の厚み,1.136919673347251
cum_a1,fwd_mid_3s,1691821,97,0.48829024886489386,-0.4548293781411148,-1.136919673347251,0.07653939274502282,-14.854046165935676,-0.9999999999999999,0.11747223849331578,10,3 板の厚み,1.136919673347251
aggr_imb,fwd_mid_60s,1691821,59,-0.5596925399181206,0.49890123934134084,1.1332345002611204,0.17372543720952585,6.5231351174805505,0.9757575757575757,0.17958460144424263,10,12 攻撃的な約定フロー,1.1332345002611204
signed_cnt,fwd_micro_3s,1691821,98,-0.5840600513479031,0.11159025348084137,1.1329641818530658,0.07549678037119856,15.006788054835818,0.9878787878787878,0.4127345623443615,10,12 攻撃的な約定フロー,1.1329641818530658
size_wgt_imb,fwd_mid_10s,1691821,41,-0.5181447901090781,0.14807454600542133,1.1320569765834436,0.1613605963546794,7.0156965340851905,0.9030303030303028,0.44660516685866886,10,12 攻撃的な約定フロー,1.1320569765834436
trade_imb,fwd_mid_10s,1691821,41,-0.5181447901090781,0.14760893621539412,1.1319164620803568,0.1613748489638302,7.014206174929151,0.9151515151515152,0.44656674671847674,10,12 攻撃的な約定フロー,1.1319164620803568
aggr_imb,fwd_micro_30s,1691821,59,-0.5546272224729766,0.508510168509352,1.128103824817969,0.14834224824604206,7.604737275835834,0.9515151515151514,0.17958460144424263,10,12 攻撃的な約定フロー,1.128103824817969
ofi_ewma,fwd_mid_3s,1691821,98,-0.4726698057916254,0.4695096340494716,1.1256094842365882,0.07514712784937437,14.978742587378333,0.9999999999999999,0.13167941525728785,10,8 OFI,1.1256094842365882
signed_vol,fwd_mid_5s,1691821,98,-0.5392515086669727,0.13399730777127583,1.1229170886201418,0.0770505712574988,14.573767206311999,0.9757575757575757,0.3961027791947257,10,12 攻撃的な約定フロー,1.1229170886201418
trade_dollar_imb,fwd_mid_5s,1691821,98,-0.5407470557624838,0.13309761087058847,1.1203203913147524,0.07572829575410668,14.79394696735927,0.9757575757575757,0.3954177185411459,10,12 攻撃的な約定フロー,1.1203203913147524
aggr_acc,fwd_micro_30s,1691821,98,-0.5331538759908732,0.2478509770552845,1.1114904379493435,0.09586876029806154,11.593875152799047,0.9515151515151514,0.2756952419907307,10,12 攻撃的な約定フロー,1.1114904379493435
ofi_2s,fwd_mid_3s,1691814,98,-0.5152698857089772,0.44115349913593505,1.10883728873161,0.08080631462590634,13.722161366534083,0.9999999999999999,0.1471166452104073,10,8 OFI,1.10883728873161
ofi_0.25s,fwd_mid_5s,1691821,98,-0.5987532690949704,0.17118616441295595,1.103486829678838,0.09850155337343006,11.202735306065682,0.9878787878787878,0.34917937535945,10,8 OFI,1.103486829678838
ofi_0.5s,fwd_micro_30s,1691821,98,-0.6151468372463159,0.3731267939274817,1.0980994815004936,0.11605100261668133,9.46221451552243,0.9878787878787878,0.2370303950595246,10,8 OFI,1.0980994815004936
signed_cnt,fwd_mid_5s,1691821,98,-0.5681283129136723,0.1359960179156217,1.0954370809895098,0.07589126671438091,14.434296967426047,0.9757575757575757,0.4127345623443615,10,12 攻撃的な約定フロー,1.0954370809895098
ofi_per_event,fwd_micro_30s,1156819,97,-0.8211801052008658,0.7755775468187284,1.0924912220111653,0.20762315611163829,5.26189487950822,0.9878787878787878,0.1183305253457974,10,8 OFI,1.0924912220111653
ofi_z,fwd_mid_3s,1691821,98,-0.5387724338611218,0.5142791713349117,1.0796213085700015,0.08909957650828876,12.11701952892634,0.9999999999999999,0.10985500239091488,10,8 OFI,1.0796213085700015
ofi_5s,fwd_micro_10s,1691723,98,-0.5037994817901758,0.5001096311123266,1.068714650740576,0.11015702419023041,9.701738573611161,0.9999999999999999,0.12893600193412277,10,8 OFI,1.068714650740576
micro_minus_bid,fwd_mid_3s,1691821,98,-0.6049698961646913,0.31560316120339366,1.0497120590641194,0.06628227645161523,15.836994672782378,0.9878787878787878,0.11317213818719593,10,4 マイクロプライス,1.0497120590641194
d_mid,fwd_mid_30s,1691820,98,-0.6474941024519046,0.3386824016075862,1.049617032146485,0.16385424569509338,6.405796979467074,0.9393939393939393,0.2650542019836626,10,1 価格と最良気配,1.049617032146485
delta1,fwd_mid_10s,1691821,98,-0.5183469705352857,0.5680802462997738,1.049586136928702,0.0717155628875529,14.635402619294931,0.9878787878787878,0.10899971096232994,10,4 マイクロプライス,1.049586136928702
micro_minus_bid,fwd_micro_500ms,1691821,98,-0.04462574660017681,-0.8696610268412441,-1.0477201894678623,0.1022975790597789,-10.241886456136108,-0.6606060606060605,0.11317213818719593,10,4 マイクロプライス,1.0477201894678623
micro_minus_ask,fwd_micro_500ms,1691821,98,0.8429719775849914,0.020397260872954036,-1.0438006692504074,0.10888744480573873,-9.586051643627105,-0.709090909090909,0.11407294270493155,10,4 マイクロプライス,1.0438006692504074
delta1_bp,fwd_mid_10s,1691821,98,-0.5238928766618375,0.5788884120306994,1.0426258523451768,0.06720981518723018,15.51299984147665,0.9878787878787878,0.10899616448785067,10,4 マイクロプライス,1.0426258523451768
obi_x_spread,fwd_mid_10s,1691821,98,-0.5238928766618375,0.5788884120306994,1.0426258523451768,0.06720981518723018,15.51299984147665,0.9878787878787878,0.10899616448785067,10,4 マイクロプライス,1.0426258523451768
d_mid,fwd_mid_60s,1691820,98,-0.709927705230851,0.35351511340731306,1.0308598359374204,0.18654406996405254,5.5260927679773975,0.8303030303030302,0.2650542019836626,10,1 価格と最良気配,1.0308598359374204
micro_minus_ask,fwd_mid_3s,1691821,98,-0.2894032528688414,0.6065506848212207,1.0088787980675402,0.06108966548015345,16.514721273032677,0.9999999999999999,0.11407294270493155,10,4 マイクロプライス,1.0088787980675402
d_bid,fwd_mid_60s,1691820,98,-0.833348299665019,0.3098181268853781,1.0063892740804654,0.17619892306027238,5.711665296252746,0.6363636363636362,0.2905072643661855,10,1 価格と最良気配,1.0063892740804654
ofi_0.25s,fwd_micro_60s,1691821,98,-0.7196227181369936,0.23422113654143223,1.0047252516541563,0.13876068462194405,7.240705495159152,0.8060606060606059,0.34917937535945,10,8 OFI,1.0047252516541563
ofi_0.25s,fwd_mid_3s,1691821,98,-0.5292989124175654,0.1642923651145597,1.0045686843115829,0.0961867245662174,10.443943162031806,0.9878787878787878,0.34917937535945,10,8 OFI,1.0045686843115829
qb1,fwd_mid_3s,1691821,97,-0.4590110339539583,0.4268342212100788,1.001691727347069,0.06740804339026187,14.860121685296962,0.9999999999999999,0.12097851959515811,10,3 板の厚み,1.001691727347069
cum_b1,fwd_mid_3s,1691821,97,-0.4590110339539583,0.4268342212100788,1.001691727347069,0.06740804339026187,14.860121685296962,0.9999999999999999,0.12097851959515811,10,3 板の厚み,1.001691727347069
ofi_0.25s,fwd_micro_30s,1691821,98,-0.651512489346214,0.19988577616286962,1.001244949309081,0.10856327551718727,9.222685521777281,0.9757575757575757,0.34917937535945,10,8 OFI,1.001244949309081
d_mid,fwd_micro_10s,1691820,98,-0.5886413410090117,0.3614756478672671,0.9993462327767721,0.15011066632906503,6.65739655425988,0.9757575757575757,0.2650542019836626,10,1 価格と最良気配,0.9993462327767721
ofi_norm,fwd_mid_5s,1691820,98,-0.5403042283836863,0.3826741227784999,0.996417992674351,0.07661873575402461,13.004886897027813,0.9999999999999999,0.16679788629996098,10,8 OFI,0.996417992674351
aggr_acc,fwd_micro_10s,1691821,98,-0.47986052380987665,0.18636297960864423,0.9959882631047577,0.08106865877979001,12.285737522933491,0.9878787878787878,0.2756952419907307,10,12 攻撃的な約定フロー,0.9959882631047577
ofi_z,fwd_micro_60s,1691821,98,-0.43833895824130364,0.49544544644579636,0.9842709355963715,0.15749246157876212,6.249638400020414,0.6121212121212121,0.10985500239091488,10,8 OFI,0.9842709355963715
