feature,corr_two_versions,rel_level,r_real,r_l1,dr
slope_asym,0.7893439662050886,-0.05360694124966005,0.010210578524907648,0.01413843120549965,0.003927852680592002
local_slope_b,0.7801832148963118,-0.034734446263339845,0.015442344171946029,0.020122735756231698,0.004680391584285669
local_slope_a,0.8043249621715222,-0.030073909269928298,-0.02423302359951019,-0.024874856299846287,-0.0006418327003360966
deep_slope_b,0.9634928401837506,0.18858399683776114,-0.0010944095613861203,-0.00046029998470910154,0.0006341095766770187
deep_slope_a,0.9782300995191411,0.13578661272898854,0.0001378719404484622,0.0008361130412007799,0.0006982411007523177
curv_b,0.8254924046774773,-0.05008161598416604,-0.011249516101691294,-0.014560946243904109,-0.003311430142212815
curv_a,0.8308901700768284,-0.03909268234502991,0.0181200599577889,0.018884457751820707,0.0007643977940318056
shape_asym,0.7928920243136666,-0.046893800126923735,-0.020180114502362193,-0.02350840985915274,-0.003328295356790547
hhi_b,0.9765234111560327,-0.007680778160465036,-0.03411670959530627,-0.03297873619950767,0.0011379733957986027
gini_b,0.9852044206714504,-0.0013020487207199042,-0.030675555523001503,-0.02942327839749893,0.0012522771255025732
entropy_b,0.9795035026823447,0.01337388193782223,0.037278611648900395,0.03585113668713893,-0.001427474961761467
hhi_a,0.9755996321523671,-0.004408189443350884,0.029920408175675147,0.028389874362578057,-0.0015305338130970902
gini_a,0.9838768714885416,-0.00107478431802436,0.02526827122982133,0.023639019199024662,-0.0016292520307966685
entropy_a,0.9786551682114089,0.008591275586879776,-0.034955797207928435,-0.03346020919238379,0.001495588015544648
liq_conc,0.97607908732486,-0.006353442665943426,-0.0028065239849397925,-0.003122599956206093,-0.0003160759712663003
gap12_b,0.9714230414945448,0.047619047619047616,-0.05559371547230304,-0.05209089507131719,0.0035028204009858455
max_gap_b,0.9818244224666844,0.0,0.05047796617980495,0.04682297299316642,-0.0036549931866385263
mean_gap_b,0.9845966231123379,0.004385964585500856,0.043143058329120694,0.03985159689600798,-0.003291461433112715
empty_lv_b,0.9847112475254575,0.0,-0.05684582257901608,-0.05357507424000759,0.003270748339008492
wall_dist_b,0.9774921822388739,0.0,0.04125783551325461,0.04226643740434346,0.0010086018910888464
cliff_b,0.9865056538901307,-0.015873015873015872,0.0439122768722073,0.040247536035582426,-0.003664740836624873
gap12_a,0.9703351014164473,-0.03968253968253968,0.05883547620865743,0.05444623533339501,-0.004389240875262421
max_gap_a,0.9806697781681298,0.0,-0.054982957521207396,-0.05178642847714194,0.003196529044065456
mean_gap_a,0.984198945693682,0.0,-0.04861978164948815,-0.045004742961208224,0.003615038688279927
empty_lv_a,0.9842517150087486,0.0,0.05994774788417819,0.057045674698144054,-0.0029020731860341376
wall_dist_a,0.9764958622304063,0.0,-0.04805005860084311,-0.04815283465715845,-0.00010277605631534015
cliff_a,0.985619678238354,0.0,-0.04441992781019201,-0.040431356362499754,0.003988571447692255
gap_asym,0.970078102781188,0.0,-0.08190393564367253,-0.07628334393047827,0.005620591713194262
med_gap,0.9845002479793821,0.0019640865779093895,-0.004158507335477708,-0.003909416162197031,0.00024909117328067703
cum_gap,0.9848793866301041,-0.004329004329004329,0.0012744563635736293,0.0015763416178017436,0.00030188525422811426
wgt_gap,0.951777666644908,-0.018046238489968846,0.004139331548547699,0.004179458805534701,0.000040127256987002036
elast_b,0.9623005755377984,0.018514955423815663,0.07948250077774863,0.07830539433409633,-0.0011771064436522927
local_elast_b,0.9812797127430857,0.13964595827863077,0.062132710382964126,0.05908423993828727,-0.0030484704446768554
deep_elast_b,0.9432797670649942,0.11271832249542665,0.028929205812641984,0.03133242314248258,0.002403217329840595
marg_elast_b,0.9823436071042442,0.1374209110304376,0.054730956099361565,0.05181771483889008,-0.0029132412604714816
elast_a,0.9673428471464616,0.016696569412914426,-0.09473201842174174,-0.091696521919894,0.0030354965018477426
local_elast_a,0.9767188789991836,1.104558068179552,-0.07281401514368951,-0.06893309221746176,0.003880922926227756
deep_elast_a,0.9691262032392661,0.07196919686070796,-0.03460338545260525,-0.03538803010853111,-0.0007846446559258563
marg_elast_a,0.9790121652892287,0.07624197652034422,-0.06213604345084709,-0.0584810422197806,0.0036550012310664903
elast_asym,0.9626429692722761,0.008365353170961421,0.12690604156396296,0.12318175887512901,-0.0037242826888339436
ofi_0.1s,0.9425398066812262,NaN,0.0034133927512198705,0.0018839433648711826,-0.0015294493863486879
ofi_0.25s,0.8955666602502051,-0.10665384088118832,0.012203710245890625,0.00708160402416876,-0.005122106221721865
ofi_0.5s,0.9166461054777073,-0.10840497196415622,0.021812713559667747,0.014648197198195297,-0.00716451636147245
ofi_1s,0.8980978970945753,-0.0764347760277306,0.030162284614336794,0.02068513945625888,-0.009477145158077915
ofi_2s,0.8996797023617956,-0.04618886723861845,0.03826261257789202,0.029007541578215876,-0.009255070999676145
ofi_5s,0.9212453539905089,-0.04198712680204877,0.041522016363238025,0.033465397398689714,-0.00805661896454831
ofi_10s,0.9315157976840592,-0.024353803965177986,0.04132365602816873,0.03496059665289445,-0.006363059375274281
ofi_dollar,0.8985168465187418,-0.08131874535848084,0.030144965922320563,0.02068103400384396,-0.009463931918476602
ofi_norm,0.896703103679336,-0.028697645578374984,0.019427719008916672,0.016817406992001946,-0.0026103120169147266
ofi_per_event,0.896465191608638,0.05728876847264185,0.021520062778135545,0.012877118254932141,-0.008642944523203404
ofi_per_time,0.8980978970945753,-0.0764347760277306,0.030162284614336794,0.02068513945625888,-0.009477145158077915
ofi_cum,0.9240021398531743,-0.03262290603140586,-0.0013585650982349436,-0.0015444477719598804,-0.0001858826737249368
