user,n,B,A_n,rate_per_s,n_days
0xa3cb11aab38f6054d6a4e82479f94ba362478d20,144157,0.8413714188963761,0.9153445799509606,0.9081586876325585,10
0x483e1d004247248d516865b9b9e893d48359ce10,144155,0.7147302703471345,0.78293667791722,0.008472839512530554,64
0x417e99d72cfef3a31d9a525c41236912752f2c1e,143621,0.6437192962203528,0.7144305396268125,0.004853766508610387,78
0xe3150c2b6e20f1a3510a6c8e394d11460389c2cf,139701,0.8579457941372121,0.9415282111355945,0.020211323627531468,70
0xc5ed4501500fcbfb2b88fb7f0aa52f834ed44346,137324,0.4190882820141689,0.43165923836304043,0.0198562227625323,58
0x80027b436d46ceee244e77135611e6ae705dbb34,136686,0.8508399209299509,0.8740496432503461,0.05137925470126247,35
0xf1e79e5cf063073deec9a0d86c178f7cde84d479,135891,0.7950703985120523,0.8344417804054679,0.03510381232728966,25
0x83bec364a5206feaa378718a46e1c947de5f057f,135233,0.8343872395984174,0.8834275067691921,0.04760183423178918,59
0xa811c97b3006406f302dc0c2c2d50a22869ec80b,135100,0.6965168639765595,0.7658214407606192,0.008375676955143699,66
0xbda495ebf6fc94d61f9a7f22b9877273378ed82b,134683,0.6539244625188685,0.7352673828657083,0.005934832027120414,73
0x669d24a6cbe89d6aca157d6a8d578475e81b8817,130719,0.7330705092000998,0.7991970453509005,0.010840054929413881,72
0xe2990ce029db870c805e90a1a8a1d8a1c52255d6,125321,0.8682631378422063,0.9274613906785357,0.026681814905064858,49
0x06b786a0d3dbc3e9f71e42a365800361f8006980,125203,0.4156722297362386,0.4302018793814405,0.01921350554049156,72
0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,123798,0.3531947532354257,0.37075207253883036,0.4848371324599454,10
0x24a9e3e4c567d0aa90f1374eb334e04976bdcacd,122703,0.33352569803193816,0.34952020942087725,0.01564056492107592,82
0x63ff1846f76ff2fd202d4ef3e7cf7e956071bcac,118720,0.8993707791860656,0.9150738173073477,0.31412450979731377,13
0x1f65221514b3d735a5b11a007cdf0c670dfded6b,118095,0.7915749763528134,0.8298735318783157,0.03430281004838551,31
0xd4a7ae4d2cba3f780150cda7dfbab2a62a6bb939,117413,0.5423453110195571,0.5545601283519708,0.039478561550644706,32
0xa65699549996aad69084920bd9bd8ef8c911d62d,116580,0.7340801284484189,0.7963750167790994,0.006470267470747529,55
0x6944592202ee61777ed79c803969951dd67b7bf9,112896,0.5579558068475732,0.5712812358805401,0.03562061812999997,31
0xa3b5671871105a2aa47be6a5a76c68de70ed0600,110292,0.8414718953886379,0.8642509731414576,0.0713789542351456,21
0xf4d1786a740d5debdfef3b617f14c8a3cb87cb23,110156,0.7440053730441447,0.8248760298252958,0.025202565276273535,18
0xbd7b48a5f74fec74643899795b6964a8fac7e69a,110018,0.8031553437526824,0.9169483879508533,0.017503718097075016,70
0xb635691cf71ca849a4e5c912eb1478b4749b1708,107235,0.7375759718872903,0.7700356351988136,0.02243776243722003,18
0x6aeff08cbb7e0ad883259f7ee3f0ec4c08a090d4,105488,0.842213068673289,0.9190675687699644,0.1690823669638243,11
0x97f5eab68d91a9a8b037493323fa5d5df95a13b8,104791,0.6066328107948766,0.621205728017296,0.07543668687740365,22
0x56edf34cbfc2f46580654ca81ce6fdf8f06aed38,103302,0.3474920384349407,0.36150440103359016,0.013145684823434669,82
0x8c14e3341eb81a21358ae62fff9598e7d8505185,101620,0.267201923450888,0.2866640416301872,0.017336619906936152,64
0xc9b21c274a570445c82179f5e8f6bdb1c9b0481e,101280,0.8202561771084385,0.9239090686238157,0.01787798492556237,70
0x3c40dd9f547aec5b71566c61ab74783d97e01af1,96640,0.8845197859405507,0.9390816493047978,0.025403793377046232,57
0x088cfcdb313a2cd0d1de497eda65125f05c212da,96423,0.356223397048329,0.3981471228873786,0.18137339091206253,13
0xd9d870eea60fe5ee868b4f7c8227b422c8520f2f,96245,0.38609295264670407,0.4194898616889303,0.014509837769550232,60
0xa81c5104c30beadbdc51e8321dc8516060d2addf,96178,0.7400999010860978,0.8010016848728796,0.019423282387786192,58
0x649b2718840b5e43f962691c2a2c070b44c0e65c,94955,0.6788120628361749,0.7723275543210947,0.006771082636652643,54
0xae913ca2740030dded1d6833eb354100a6820bfb,93186,0.5237345878353435,0.5442648338696969,0.022720079714534457,46
0xdb4171a29650d9c8cd1b8f33c15644a2a97587dd,92959,0.734634964375181,0.809717680709126,0.00683241144821743,82
0x9ea9f8d0697672dd2a504c3ae4f85eee67c5b4e4,91410,0.2460100782508423,0.25043745148793484,0.1380933117789277,20
0x2cff35b62aa18287a4b866e8c0a5ab6f8781e8a3,90892,0.8225024231046683,0.8730334419577143,0.021233150534907874,46
0xa2aba48c45719262eee06ecf328ca4dce7e750d9,89969,0.5868006252830121,0.6130466715366296,0.018173298075029414,32
