wid,n_days,n_ord,n_slot,n_fill,n_canc,n_rf_fill,n_rf_canc,n_rf_same,n_rf_fill_same,sz_pl,sz_fl,szt,n_ep,n_modal,ep_child,ep_child_max,rf_fill,rf_canc,same_sz_share,modal_share,turnover_s,ord_per_slot,rf_ratio
7997,76,13859044,829173,48532,13810512,2677,1237805,929819,923,53000585732,275343706,6.271133890077956e+19,6613174,1045806,2.7082737852790855,137,0.05515948240336273,0.08962774153485403,0.7495626699944054,0.07546018325650745,0.8451515572942289,16.71429725762899,0.6154286770900342
3284,13,55654,28992,333,55321,0,1019,558,0,67680187,382190,1.189420353967661e+18,51483,2978,1.0828530918805528,12,0.0,0.018419768261600477,0.5475956820412169,0.053509181729974487,0.056901823458992314,1.9196330022075054,0.0
11808,68,16619731,654695,48898,16570833,2361,1286970,885944,1937,65526730860,87696930,3.479731813833574e+20,7833642,9601301,2.708920756424928,548,0.04828418340218414,0.07766477400381742,0.6871346457969288,0.5777049580405362,0.18830971570711383,25.385455822940454,0.6216999150710314
2239,88,47978,35415,454,47524,0,300,82,0,30149824,241443,9.936126236543224e+17,46080,1619,1.030816254711379,23,0.0,0.0063125999494992,0.2733333333333333,0.03374463295677185,0.030343640249974435,1.3547366934914584,0.0
6696,48,41210,24166,95,41115,5,970,826,2,403917108,917117,4.6519447448973795e+19,35805,13331,1.1227824806013806,10,0.05263157894736842,0.023592362884592,0.8471794871794872,0.3234894443096336,0.008682758075384454,1.7052884217495654,2.2308735756918066
19814,12,181927,16153,22929,158998,164,12952,12904,149,3748310,493033,4608943663286480.0,113952,170113,1.570715832551149,22,0.007152514283222121,0.08146014415275664,0.9838365355291248,0.9350618654735141,0.8132687821415479,11.262737571968055,0.08780385006205611
804,98,87290,73725,14,87276,0,0,0,0,1421977289,250058,2.60902279827812e+20,86092,581,1.0107579197135828,6,0.0,0.0,,0.006655974338412189,0.005450229449656262,1.1839945744320108,NaN
25450,31,82262,51508,18718,63544,279,4575,3823,63,7208237,1629383,1.3193304593580504e+16,70180,7621,1.1689720005863067,27,0.01490543861523667,0.07199735616265894,0.7875978574371653,0.09264301864773529,0.5463556873770146,1.5970722994486293,0.20702758281237138
11954,46,57714,31434,27,57687,0,186,184,0,266613781,112819,1.2460717335617847e+19,49957,8303,1.1384282866588997,7,0.0,0.0032242966352904467,0.989247311827957,0.14386457358699795,0.021396342908598716,1.836037411719794,0.0
12076,2,28399,5719,1560,26839,469,2272,2424,466,10135608,672731,1.4575549296476992e+16,13439,3717,2.0421899721567334,35,0.3006410256410256,0.08465293043705056,0.8843487778183144,0.13088489031303918,0.6953842900761101,4.965728274173807,3.5514544397797034
4603,36,21262,16180,1,21261,0,9,0,0,140923241,5391,4.022138309331297e+19,20822,251,1.0151172223948248,4,0.0,0.0004233102864399605,0.0,0.011805098297432039,0.0035036895840468815,1.3140914709517924,0.0
15655,51,4748271,248711,3437,4744834,106,674335,315844,26,7257740945,4984950,7.052266798826127e+18,1942510,844258,1.9379044546152868,140,0.030840849578120454,0.14211982969267206,0.4683048628419684,0.1778032466975874,1.0291359008436938,19.091519876483147,0.21700595648624438
24825,8,36498,16116,1235,35263,0,991,16,0,10161221,219809,1.2278645986722147e+17,32330,3566,1.0575941951479233,9,0.0,0.028103110909451834,0.016145307769929364,0.09770398377993314,0.08275522407754175,2.264705882352941,0.0
