wid,n_days,n_ord,n_slot,n_fill,n_canc,n_rf_fill,n_rf_canc,n_rf_same,n_rf_fill_same,sz_pl,sz_fl,szt,n_ep,n_modal,ep_child,ep_child_max,rf_fill,rf_canc,same_sz_share,modal_share,turnover_s,ord_per_slot,rf_ratio
12288,16,17692,15587,6349,11343,9,19,13,0,7331423,1182662,8.10352132524879e+17,17472,3364,1.0158536420272484,11,0.001417546070247283,0.0016750418760469012,0.4642857142857143,0.19014243725977842,0.00904720640045322,1.1350484378007313,0.846275003937628
6637,65,64892,34792,32,64860,2,1313,1231,0,308447482,130814,1.5764010715953973e+19,54003,21339,1.1432136193697537,21,0.0625,0.020243601603453593,0.9361216730038023,0.32883868581643344,0.019566561299519773,1.865141411818809,3.087395277989337
12797,44,39029,24607,39,38990,1,105,28,1,354576421,439297,4.450936263355077e+19,35319,12914,1.0880987000252147,7,0.02564102564102564,0.0026929982046678637,0.2641509433962264,0.3308821645443132,0.007966333373929813,1.586093388060308,9.521367521367521
218,23,181438,7059,2042,179396,265,4939,3026,187,556406953,2703213,1.5216851885185555e+20,68788,3674,2.4290110560144287,88,0.1297747306562194,0.027531271600258644,0.5814757878554958,0.020249341372810547,0.0036565181628776503,25.70307408981442,4.713720911278221
12017,2,17754,1312,53,17701,0,600,289,0,25003001,79639,7.694950267334987e+16,7952,3995,1.616400452773236,23,0.0,0.03389639003446133,0.4816666666666667,0.22501971386729752,0.32492738914944747,13.53201219512195,0.0
15271,1,10165,725,164,10001,6,190,171,0,1603702,17865,6847568929550988.0,5213,1114,1.9499328601572992,14,0.036585365853658534,0.018998100189981004,0.8724489795918368,0.10959173635022135,0.2342001981285873,14.020689655172413,1.9257381258023103
5592,63,330034,158525,4892,325142,472,10270,6128,257,690734276,11140082,6.105018236778003e+17,276358,6152,1.1983568673086789,46,0.0964840556009812,0.03158619926063074,0.5704710482219326,0.01864050370567881,1.1314204957470253,2.0819050622930138,3.054626952893303
27734,14,28919,20267,8705,20214,0,778,0,0,26280205,8381936,5.177850895355344e+16,25671,1458,1.1670618984438306,22,0.0,0.038488176511328784,0.0,0.05041668107472596,0.5075504399629192,1.426900873340899,0.0
10573,19,84587,9308,2959,81628,11,11629,11518,11,21944110,532430,4.4174633080371904e+17,46499,22466,1.2729058060389704,48,0.0037174721189591076,0.1424633704121135,0.9895189003436426,0.2655963682362538,0.04967581725030879,9.087559088955738,0.026094231157141115
13577,17,33190,28708,0,33190,0,1,1,0,757010145,0,1.0507405630860627e+20,32898,106,1.010764244671527,3,,0.000030129557095510696,1.0,0.003193733052124134,0.007204539080290514,1.1561237285774,
25519,6,28852,18463,1169,27683,76,63,139,76,6035199,248879,6.503261411996383e+17,28206,7740,1.0287465702088374,3,0.06501283147989735,0.002275764909872485,1.0,0.26826563149868293,0.00928026511262032,1.5626929534745166,28.567463712031717
10960,22,410134,106129,26186,383948,1142,8205,7777,76,187254527,12462997,2.3533867309728106e+17,328274,259053,1.3250580654619257,20,0.043611089895363934,0.021370081365184868,0.832031667914839,0.6316301501460498,0.7956810690548735,3.8644856730959494,2.0407545086100174
11749,10,587031,13951,2762,584269,411,80304,80715,411,609852540,2869550,3.747202727790294e+18,176259,16296,2.815858333279004,41,0.1488052136133237,0.13744354056094024,1.0,0.027760033115797972,0.1627487446775069,42.07805892050749,1.0826642925961723
27728,21,10782,7428,2502,8280,0,0,0,0,437259,80071,2.6355631398923846e+17,10490,2559,1.020179886306223,5,0.0,0.0,,0.23734001112966055,0.0016590723757726183,1.451534733441034,NaN
28910,16,3947822,206166,15707,3932115,1259,547723,147031,154,16972320017,73078084,2.159122569155044e+19,1955686,5183,1.8267764468590642,222,0.08015534475074808,0.13929475612997078,0.2678248102852188,0.0013128758084837665,0.7860748740930436,19.1487539167467,0.5754369150548503
1007,93,4757709,799739,15289,4742420,901,87414,13493,157,142180504909,41515431,2.96059900400736e+21,4090356,18125,1.1595624571776921,84,0.058931257767022044,0.018432361536936837,0.15278265300345353,0.0038096066825440565,0.04802423587812791,5.949077136415756,3.1971626451081145
27785,1,11993,1276,99,11894,6,5947,480,6,5882509,57731,5198714800597592.0,3146,1738,3.812142403051494,72,0.06060606060606061,0.5,0.08063161431211154,0.1449178687567748,1.131531392975011,9.398902821316614,0.12121212121212122
3776,3,50625,17593,5616,45009,1895,4993,4174,889,34562773,2966994,4.206679610737264e+16,39383,448,1.2828336723206417,20,0.33742877492877493,0.1109333688817792,0.6059814169570267,0.008849382716049382,0.8216164813640875,2.8775649406013755,3.041724760818993
1832,18,11945,2742,280,11665,2,2567,2507,2,39073066,501152,5.863742307939072e+16,6695,11285,1.755555623737891,50,0.007142857142857143,0.22006000857265323,0.9758660957571039,0.9447467559648388,0.6663503262600399,4.356309263311451,0.03245867883577272
260,28,40964,33563,1,40963,0,1,1,0,1424701268,31550,1.5674014079655697e+20,40582,137,1.0066619995173827,3,0.0,0.000024412274491614384,1.0,0.0033443999609413144,0.009089575017348049,1.2205106814051188,0.0
516,5,26208,7126,967,25241,75,1458,796,8,23938024,1233355,1.6120088931482435e+17,18906,2007,1.294228883262201,16,0.07755946225439504,0.057763163107642325,0.5192433137638617,0.07657967032967034,0.14849808894818925,3.6777996070726915,1.342714942910278
4687,9,18542,10062,8515,10027,13,120,22,0,4941752,1748247,6.5181106200970216e+16,15675,524,1.314459045057897,15,0.0015267175572519084,0.011967687244440013,0.16541353383458646,0.028260166109373316,0.07581571237473786,1.8427747962631684,0.12756997455470737
12428,14,30246,18581,66,30180,0,1173,1173,0,64234532,61843,1.3695920004942697e+18,26810,22602,1.0572143412253407,9,0.0,0.038866799204771374,1.0,0.7472723665939298,0.04690048713545238,1.6277918303643506,0.0
7590,24,499375,84279,15654,483721,3,1236,1238,3,499369044,17229859,3.0423529437403853e+18,342484,499358,1.4246059543225467,21,0.00019164430816404754,0.0025551919391550086,0.9991928974979822,0.9999659574468085,0.1641390901168937,5.925260147842286,0.07500192264516282
22524,7,57578,17527,667,56911,12,7445,6154,10,228973995,2572604,3.563802069286694e+17,37577,2425,22.08822540337574,195,0.017991004497751123,0.13081829523290753,0.8252648518170846,0.04211678071485637,0.6424991920099251,3.285102983967593,0.13752666984170775
364,96,21742335,917898,61669,21680666,12819,4223095,1725795,5449,728186733089,1410929148,3.1569407806810777e+21,7555015,87355,3.6511315120327335,283,0.20786781040717378,0.1947862210505895,0.40741974459349267,0.004017737745278968,0.2306621453101509,23.687092683500783,1.0671586998609452
