cov,bin_lab,n,p_tau0,fill_final,cancel_final,median_life_s,S_1s,S_60s,h_fill_1s,fill_h0,median_h0,fill_h1,median_h1
near_ofi,逆 0-0.3,33991390,0.1167109671007864,0.021298868233933416,0.9787009459829645,0.45188798397671703,0.2912151577208229,0.008969463079031181,0.011481374962233842,0.02712924072978299,0.5440911008498525,0.019045247452266333,0.41736694114352735
near_ofi,流量なし,3641582,0.08911429153593137,0.026651992017266937,0.9733480079827332,1.127669789020025,0.5206160399518672,0.024987511284963876,0.00686329403214131,0.028773111137642703,1.2732560324141995,0.02437895207871533,0.9929264392482005
near_ofi,順 0-0.3,25601157,0.12685520423940214,0.028263536939172537,0.9717362835923545,0.4673100944221575,0.31312588724017437,0.007375195129689613,0.014371702195661565,0.03173279636228489,0.6470099865795116,0.026907954469037727,0.41903473238215094
near_ofi,順 0.3-1,19970799,0.15002789823281482,0.027094352713077217,0.9729052735686378,0.3826291940785915,0.2606330215496832,0.004939718314816375,0.014414334659127032,0.029992582550835017,0.5152282307928697,0.026177384663041325,0.34792267086846396
near_ofi,順 1-2,10701677,0.16033468399391984,0.026823859701087416,0.973175915905392,0.3632989366171291,0.252820075863689,0.00441599396500007,0.01353671046142071,0.02958653165901874,0.49244259290972436,0.02595902620237585,0.3290640285311782
near_ofi,順 2以上,12725395,0.1550472107152666,0.02784176900137811,0.9721582309986214,0.38924328227878446,0.2777229311938842,0.004722713520399534,0.012718339118819932,0.0322015700519791,0.47737551087763547,0.026042863450748868,0.3545576159340519
null,対照 0,68741344,0.10448226034102563,0.00915893948392475,0.9908301807268489,0.565207347856196,0.39066432021125796,0.021860600505743833,0.003506102961899731,0.011589273359573977,0.6675035360365642,0.008270283845250647,0.5424057624933053
null,対照 1,68741039,0.10449631114827927,0.009158623805892326,0.9908307570483893,0.5652318046644768,0.39066731775020186,0.02187668602583948,0.0035191134648478524,0.011593625465038917,0.6680108291896987,0.008268175690995182,0.5423228351584968
null,対照 2,68750399,0.10445187379930697,0.009175690769109974,0.9908136850548204,0.5652105761648576,0.39066902060449377,0.0218723699864937,0.0035252512479188947,0.011619066580099948,0.6679796768408266,0.008282788494462677,0.5423054443576298
null,対照 3,68734770,0.1045119813451038,0.009145906243699488,0.990843173889351,0.5653283821664143,0.39057201498337796,0.021830610959901114,0.0034982580101981294,0.011532763866944929,0.6672755387354694,0.008274195400995197,0.5425519106750274
null,対照 4,68734139,0.10450323673946073,0.009145994587751931,0.99084278165591,0.5654407921044262,0.3907264270307691,0.02189265472823924,0.0035083247800251154,0.011547248302321943,0.6676132059336645,0.0082682372425996,0.5425793932934625
null,対照 5,68743436,0.1044652612359964,0.009151107849155841,0.9908379486322814,0.5650802329263148,0.3905916827733797,0.021867801732849034,0.003518943142705207,0.011540963570536666,0.6672080270847813,0.008277360110702158,0.5423307250912691
null,対照 6,68742010,0.10451085151568888,0.009129601187668293,0.9908592356104207,0.564832011236051,0.3905570608820652,0.02182739692175191,0.0034952559554723094,0.01156261101896059,0.667170179333183,0.008240732593761235,0.5421245145059957
null,対照 7,68733514,0.10451421121870766,0.009165385865606163,0.9908234959259754,0.5650650215863647,0.39064920214789783,0.021876640718060805,0.0035181508213070357,0.01155414469426911,0.6674493468911857,0.008292714632266628,0.5423060576952299
