dt,h_depth,h_size,h_plevel,h_wallet,h_age,h_queue,h_action,h_side,h_dir,h_chg,h_rate,h_cond,h_trans,n_ord,n_ev,n_grid
2026-07-20,7.1815042,3.3804865,8.561273,4.4376183,2.3088717,0.57977504,NaN,NaN,NaN,NaN,1.788496,1.5961132,1.6014451,613.4094954802717,273.2025486406093,86399
2026-07-21,7.027145,3.3870823,8.769873,4.587526,2.4307513,0.6488013,NaN,NaN,NaN,NaN,1.7896391,1.6030478,1.6098062,730.22274563363,222.7560851398743,86399
2026-07-22,7.043457,3.3642695,8.742672,4.741288,2.442885,0.6421531,NaN,NaN,NaN,NaN,1.789106,1.6004831,1.6062697,712.0185766038959,251.02252340883575,86399
2026-07-23,7.212209,3.352669,8.71987,4.7505617,2.4303267,0.63084674,NaN,NaN,NaN,NaN,1.7843544,1.5926176,1.598982,758.2431972592275,328.4453755251797,86399
2026-07-24,7.1978602,3.3746343,8.818139,4.8072133,2.4778533,0.58260345,NaN,NaN,NaN,NaN,1.7980912,1.6152881,1.6191193,764.0203474577252,293.2788573941828,86399
2026-07-25,7.1446447,3.3545985,8.8023815,4.715344,2.4706907,0.56723505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,662.4687785738261,29.699903934073312,86399
2026-07-26,7.2077527,3.287042,8.960821,4.552007,2.5425184,0.58652556,NaN,NaN,NaN,NaN,1.8545469,1.7517084,1.746224,734.0495607588051,44.94812439958796,86399
2026-07-27,7.1999173,3.3874195,8.739538,4.489253,2.4272137,0.60337716,NaN,NaN,NaN,NaN,1.796677,1.6084043,1.6130135,739.1707195685135,322.66298221044224,86399
2026-07-28,7.320698,3.4115698,8.867892,4.588051,2.4391186,0.60218453,NaN,NaN,NaN,NaN,1.7931188,1.5963036,1.5983685,825.0251391798516,423.65868817926133,86399
2026-07-29,6.8535976,3.4172616,8.673479,4.429809,2.318891,0.6488086,NaN,NaN,NaN,NaN,1.782679,1.5792776,1.5794939,724.4501672473061,543.6564427829026,86399
2026-07-30,7.0525885,3.4357994,8.721965,4.5442033,2.3245804,0.6429561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,789.2648824261163,394.50512687351295,82799
2026-07-31,7.100206,3.482899,9.0388775,4.4341793,2.326738,0.56282896,NaN,NaN,NaN,NaN,1.8016045,1.6123945,1.6128042,1055.1681500943298,389.3105938726143,86399
2026-08-01,5.701146,3.514382,9.415791,3.65101,2.2736297,0.4955338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1330.593710575354,34.936341855808514,86399
2026-08-02,7.752129,3.4417953,9.383725,4.7001076,2.1514218,0.52661955,NaN,NaN,NaN,NaN,1.8559732,1.7354043,1.7331791,1342.4645014930902,80.20380101391235,86398
2026-08-03,7.4984736,3.495822,9.341565,4.543833,2.167436,0.6734853,NaN,NaN,NaN,NaN,1.7825079,1.5774747,1.5807791,1435.3179897915486,325.655250639475,86399
2026-08-04,7.4266915,3.4082475,9.162311,4.6727076,2.354116,0.7697756,NaN,NaN,NaN,NaN,1.7495321,1.5154706,1.5201824,1202.0742253961273,412.07115823099804,86399
2026-08-05,7.370313,3.3408258,8.983797,4.7653575,2.4682417,0.8146101,NaN,NaN,NaN,NaN,1.7591442,1.5300335,1.5332758,921.8015486290351,428.17930763087537,86399
2026-08-06,7.436179,3.3567352,9.0429125,4.8281326,2.429608,0.79119563,NaN,NaN,NaN,NaN,1.7675036,1.5482831,1.5516003,976.9981365525064,383.07279019433093,86399
2026-08-07,7.3352656,3.3758218,9.020661,4.7241454,2.4773483,0.7692061,NaN,NaN,NaN,NaN,1.7837142,1.5851854,1.5885377,924.1414136737694,297.60567830646187,86399
2026-08-08,7.215782,3.2430885,9.068204,5.0075,2.5873373,0.82895666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,901.4053287653792,24.90943182212757,86399
2026-08-09,7.4336863,3.1948211,9.122624,5.0110435,2.5122876,0.79102653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,942.5138832625378,28.339054850171877,86399
