coin,regime,name,h,n,fwd_bp,se,t,fwd_placebo_bp,fwd_all_bp,fwd_rv_bp
SNDK,1,R1 低ボラ/中立,10,3797127,-0.014550399072084217,0.00902033125278983,-1.6130670442489607,0.00991878535030181,0.00029145011917032607,3.1538342507630976
SNDK,2,R2 低ボラ/上,10,808297,0.32301406482574246,0.027643220038181347,11.685109924950467,-0.007489509502372482,0.00029145011917032607,3.5325090141489897
SNDK,3,R3 低ボラ/下,10,795151,-0.2990620508037227,0.023054265252521015,-12.972092041450763,0.01172272397691906,0.00029145011917032607,3.546521216848815
SNDK,4,R4 高ボラ/上,10,655339,0.3478587956636237,0.03758903560859573,9.254262314303073,0.0037783005167167545,0.00029145011917032607,4.319377939960797
SNDK,5,R5 高ボラ/下,10,654325,-0.28618412473624616,0.039817998318769324,-7.187305661252823,-0.031881914213758786,0.00029145011917032607,4.303229477635058
SNDK,6,R6 高ボラ/両建て,10,1841552,-0.008912192824097248,0.01712760673923503,-0.5203408135055823,-0.009104572128777981,0.00029145011917032607,4.127050620069334
SNDK,1,R1 低ボラ/中立,60,3797124,-0.04609839150055578,0.046910539019078164,-0.9826873121583172,0.0036546902595863888,0.0016351172166142705,8.993446076850807
SNDK,2,R2 低ボラ/上,60,808282,0.5392356659021132,0.07576373227052595,7.117332392980458,-0.011819829203997262,0.0016351172166142705,9.91189240101311
SNDK,3,R3 低ボラ/下,60,795151,-0.5008329571651117,0.06431745962529511,-7.7868895954985975,0.03313396701398867,0.0016351172166142705,9.92551438748569
SNDK,4,R4 高ボラ/上,60,655318,0.7212331020717738,0.12143701538979125,5.939153723078121,0.06187287218130829,0.0016351172166142705,11.36520083256445
SNDK,5,R5 高ボラ/下,60,654325,-0.462863240231007,0.11655386342947077,-3.9712389328998556,-0.05390852110637897,0.0016351172166142705,11.389801982088306
SNDK,6,R6 高ボラ/両建て,60,1841541,-0.021264093495544978,0.08585691349527691,-0.24766897189606915,-0.01508391958982761,0.0016351172166142705,11.01488178632216
SNDK,1,R1 低ボラ/中立,300,3796993,-0.14632470741448825,0.23728080894814382,-0.6166731648595591,-0.0073982107262025925,0.006980672208008858,21.537005925753895
SNDK,2,R2 低ボラ/上,300,808242,0.6310505811631112,0.26628480635404234,2.369833224070959,0.022240282019868336,0.006980672208008858,23.46296696313478
SNDK,3,R3 低ボラ/下,300,795135,-0.6343816756975592,0.23830697855791463,-2.66203566314525,0.02347137779429374,0.006980672208008858,23.426182755920202
SNDK,4,R4 高ボラ/上,300,655311,0.9377080438201094,0.4187966227068479,2.2390534999048755,0.028254478440312758,0.006980672208008858,25.597264526172477
SNDK,5,R5 高ボラ/下,300,654307,-0.5184288577096278,0.4551516818179436,-1.1390243701592966,0.002941373542939951,0.006980672208008858,25.70295228324284
SNDK,6,R6 高ボラ/両建て,300,1841513,0.1333137343084453,0.4049308950079087,0.329225890027091,0.0074889676637279745,0.006980672208008858,25.180238850467937
INTC,1,R1 低ボラ/中立,10,3696543,-0.009401465573259965,0.005573237105743171,-1.6868949579718828,-0.008446644842025496,-0.0004921117028388106,2.6701510842967378
INTC,2,R2 低ボラ/上,10,655007,0.1616631514122861,0.022891506588384732,7.062145551150173,0.006010987222000773,-0.0004921117028388106,3.1926355832051247
INTC,3,R3 低ボラ/下,10,643424,-0.21252425022836827,0.025793608786098873,-8.239415119876728,-0.0055541084462566205,-0.0004921117028388106,3.27944790532038
INTC,4,R4 高ボラ/上,10,572863,0.2057300141177582,0.03423262395032953,6.009764674080084,0.00642914358905532,-0.0004921117028388106,3.724063287835397
INTC,5,R5 高ボラ/下,10,566558,-0.14546966648323498,0.030783982834616686,-4.72549855763478,0.01569008376324685,-0.0004921117028388106,3.733890815524717
INTC,6,R6 高ボラ/両建て,10,2417396,0.008607809671667148,0.014904951644141387,0.5775134248792129,0.005266763923384181,-0.0004921117028388106,3.6345282513012207
INTC,1,R1 低ボラ/中立,60,3696529,-0.07852809367519667,0.033237055269929094,-2.362667000353795,-0.009711924186524345,-0.0029971716604995837,8.069201198000153
INTC,2,R2 低ボラ/上,60,654998,0.27397082910726833,0.06762786814839895,4.051152825135365,0.04677618290365902,-0.0029971716604995837,9.41027078437867
INTC,3,R3 低ボラ/下,60,643424,-0.3993038129673224,0.05853146711305848,-6.82203663537142,-0.04507487236170601,-0.0029971716604995837,9.57256271815153
INTC,4,R4 高ボラ/上,60,572860,0.6070633430186422,0.09720670845051083,6.245076627892465,-0.011192909273506968,-0.0029971716604995837,10.15835026440385
INTC,5,R5 高ボラ/下,60,566558,-0.372677711290722,0.08601449817297763,-4.3327313325860075,-0.003397520474629729,-0.0029971716604995837,10.104842083035512
