feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
micro_ret,fwd_micro_100ms,1692166,98,0.07100211193851215,-0.05387317525969614,-0.17545728265651495,0.012243277678018914,-14.330907725104026,-0.5393939393939393,0.2008715456994172,10,4 マイクロプライス,0.17545728265651495
ofi_0.5s,fwd_micro_1s,1692166,98,0.06563220899004887,-0.034705549137663584,-0.1746679174444595,0.03085653202905229,-5.660646416130133,-0.12727272727272726,0.2522607120105238,10,8 OFI,0.1746679174444595
obi_acc,fwd_mid_1s,1692166,98,-0.08565098514467201,0.07140156569696483,0.1719996101190376,0.013751322061322938,12.50785992445082,0.9757575757575757,0.1676224436609647,10,2 板の偏り OBI,0.1719996101190376
trade_dollar_imb,fwd_mid_5s,1692166,98,-0.13585376132700192,0.01511283173852647,0.16757519254740805,0.03365776580339148,4.978797271520695,0.39999999999999997,0.6956226516783814,4,12 攻撃的な約定フロー,0.16757519254740805
d_ofi,fwd_mid_1s,1692166,96,-0.08877690737927973,0.07546284360983656,0.16720864314604386,0.02077472565784764,8.04865709901112,0.9757575757575757,0.16034242503395058,10,8 OFI,0.16720864314604386
ofi_vel,fwd_mid_1s,1692166,96,-0.08877690737927973,0.07546284360983656,0.16720864314604386,0.02077472565784764,8.04865709901112,0.9757575757575757,0.16034242503395058,10,8 OFI,0.16720864314604386
signed_vol,fwd_mid_5s,1692166,98,-0.1359011773999111,0.015076472965772345,0.16647598320294982,0.03373437759249247,4.934906024173951,0.39999999999999997,0.6956894299968206,4,12 攻撃的な約定フロー,0.16647598320294982
ofi_norm,fwd_mid_500ms,1692166,98,-0.08376260243209377,0.05521671308414785,0.16461695702418142,0.016110555352009125,10.217956701514467,0.9757575757575757,0.20302263489515804,10,8 OFI,0.16461695702418142
signed_cnt,fwd_micro_3s,1692166,98,-0.11904354452539982,0.016333109852120293,0.16354011463911655,0.022490744157859233,7.271440797656693,0.7999999999999999,0.7023371229536582,4,12 攻撃的な約定フロー,0.16354011463911655
ofi_z,fwd_mid_300ms,1692166,98,-0.08763522282416163,0.08387677520636738,0.1626720275433981,0.011545602381046785,14.089522761535584,0.9999999999999999,0.11223898837348109,10,8 OFI,0.1626720275433981
