a,b,px,horizon,n,rank_corr,same_sign
INTC,SKHX,mid,30s,70,0.8850144344326829,0.9428571428571428
INTC,SKHX,mid,60s,70,0.8316157816464,0.9285714285714286
INTC,SKHX,micro,ALL,630,0.7756400302871824,0.7111111111111111
INTC,SKHX,micro,100ms,70,0.6127722858892486,0.5857142857142857
INTC,SKHX,micro,300ms,70,0.6418161140757588,0.6142857142857143
INTC,SKHX,micro,500ms,70,0.7031230863441519,0.6
INTC,SKHX,micro,1s,70,0.674184235849882,0.6857142857142857
INTC,SKHX,micro,3s,70,0.8034117749978128,0.7571428571428571
INTC,SKHX,micro,5s,70,0.819193421397953,0.7428571428571429
INTC,SKHX,micro,10s,70,0.8487271454815851,0.7857142857142857
INTC,SKHX,micro,30s,70,0.7675094042515964,0.8428571428571429
INTC,SKHX,micro,60s,70,0.7409150555506955,0.7857142857142857
INTC,SMSN,mid,ALL,630,0.8946399581805567,0.8888888888888888
INTC,SMSN,mid,100ms,70,0.8115300498644038,0.7714285714285715
INTC,SMSN,mid,300ms,70,0.7967981803866679,0.7714285714285715
INTC,SMSN,mid,500ms,70,0.8520164465051177,0.9285714285714286
INTC,SMSN,mid,1s,70,0.8120549383256058,0.9142857142857143
INTC,SMSN,mid,3s,70,0.7976030093605109,0.9
INTC,SMSN,mid,5s,70,0.7885049426996762,0.8857142857142857
INTC,SMSN,mid,10s,70,0.8012772285889248,0.9142857142857143
INTC,SMSN,mid,30s,70,0.8310908931851981,0.9571428571428572
INTC,SMSN,mid,60s,70,0.7911293850056863,0.9571428571428572
INTC,SMSN,micro,ALL,630,0.8559201639279947,0.8174603174603174
INTC,SMSN,micro,100ms,70,0.7924591024407314,0.7285714285714285
INTC,SMSN,micro,300ms,70,0.8692327880325431,0.7571428571428571
INTC,SMSN,micro,500ms,70,0.7998775260257195,0.7571428571428571
INTC,SMSN,micro,1s,70,0.7903595485959234,0.8
INTC,SMSN,micro,3s,70,0.8264718747266205,0.8285714285714286
INTC,SMSN,micro,5s,70,0.847117487533899,0.7857142857142857
INTC,SMSN,micro,10s,70,0.8900533636602221,0.8857142857142857
INTC,SMSN,micro,30s,70,0.8556206806053713,0.9285714285714286
INTC,SMSN,micro,60s,70,0.8036217303822938,0.8857142857142857
INTC,SNDK,mid,ALL,603,0.9310916649508612,0.8938640132669984
INTC,SNDK,mid,100ms,67,0.8992736850506826,0.7761194029850746
INTC,SNDK,mid,300ms,67,0.8143107989464444,0.8059701492537313
INTC,SNDK,mid,500ms,67,0.896559980844441,0.8805970149253731
INTC,SNDK,mid,1s,67,0.8762870141272249,0.9402985074626866
INTC,SNDK,mid,3s,67,0.8712985872775162,0.9253731343283582
INTC,SNDK,mid,5s,67,0.8835900710351986,0.9253731343283582
INTC,SNDK,mid,10s,67,0.9052597972703329,0.8955223880597015
INTC,SNDK,mid,30s,67,0.9004709074946126,0.9402985074626866
INTC,SNDK,mid,60s,67,0.885465719530689,0.9552238805970149
INTC,SNDK,micro,ALL,603,0.6447316671794928,0.6384742951907131
INTC,SNDK,micro,100ms,67,0.4665575863995532,0.6119402985074627
INTC,SNDK,micro,300ms,67,0.353340250618565,0.5373134328358209
INTC,SNDK,micro,500ms,67,0.5527975097773167,0.6268656716417911
INTC,SNDK,micro,1s,67,0.5455343602841409,0.6119402985074627
INTC,SNDK,micro,3s,67,0.5885545534360286,0.6417910447761194
INTC,SNDK,micro,5s,67,0.6131774283661905,0.6268656716417911
INTC,SNDK,micro,10s,67,0.6974219810040707,0.6567164179104478
INTC,SNDK,micro,30s,67,0.6713225317263948,0.7014925373134329
INTC,SNDK,micro,60s,67,0.7768776438662304,0.7313432835820896
AMD,KIOXIA,mid,ALL,594,0.8170530678416797,0.7811447811447811
AMD,KIOXIA,mid,100ms,66,0.2491806700761925,0.7121212121212122
AMD,KIOXIA,mid,300ms,66,0.16827053543471454,0.5757575757575758
AMD,KIOXIA,mid,500ms,66,0.31535330341300494,0.7272727272727273
