band,n,sz_pl,sz_fl,szt,n_fill,n_rf_fill,n_canc,n_rf_canc,dt
3,136800,1381853852,5205202,2.7677819820142403e+18,1171,63,135629,13026,2026-05-22
0,336190,2644854378,52073625,5.149709719514077e+18,10201,1350,325989,27236,2026-05-22
5,422204,7255456646,12488748,1.8132747612139887e+19,2356,129,419848,41421,2026-05-22
1,137597,1135089502,12265484,2.5152831087872184e+18,2504,134,135093,10740,2026-05-22
4,212664,2759358993,7550374,5.8380935531957e+18,1612,81,211052,20852,2026-05-22
-1,24,105023,0,44592190678048.0,0,0,24,2,2026-05-22
8,500605,12996467117,8245929,7.392553348657387e+20,1305,18,499300,47678,2026-05-22
7,434506,6777688216,6400478,5.106359336136755e+19,1076,54,433430,70288,2026-05-22
2,98857,853910311,4369023,1.7342184989430518e+18,1001,58,97856,8240,2026-05-22
5,71840,150914147,1948479,2.1692921645973696e+18,1257,53,70583,2945,2026-05-23
3,19446,33913741,988127,3.956334437356602e+17,565,19,18881,556,2026-05-23
1,64430,72636464,2302783,6.236084300267363e+17,1697,107,62733,1605,2026-05-23
2,20741,38552667,1197037,3.378020773466073e+17,551,28,20190,448,2026-05-23
0,101701,114198844,9116634,2.4527259870890035e+18,7229,749,94472,2471,2026-05-23
6,72023,286724348,1960073,4.701349576454435e+18,711,45,71312,4405,2026-05-23
7,77037,441339080,1617565,1.225012066736812e+19,456,31,76581,7613,2026-05-23
-1,6,402054,0,4.021547389157826e+16,0,0,6,0,2026-05-23
4,32463,60890238,1303390,8.348915627438061e+17,804,20,31659,1132,2026-05-23
8,171946,2041739810,1107868,3.8868433768650297e+20,540,13,171406,32281,2026-05-23
8,257157,4707406839,4285443,4.562246468926572e+20,801,39,256356,57296,2026-05-24
3,16717,22617119,701341,2.8150084100425834e+17,537,21,16180,708,2026-05-24
0,98432,120889991,10426155,4.779548478817466e+18,6038,412,92394,2724,2026-05-24
4,26292,43189138,952607,7.673338497252686e+17,722,29,25570,1087,2026-05-24
1,55482,46829907,1744794,8.596744398972946e+17,1356,79,54126,1492,2026-05-24
5,62056,146785550,1925608,3.67990861688882e+18,1260,58,60796,3664,2026-05-24
2,16451,24816810,687208,2.499803401938356e+17,461,15,15990,543,2026-05-24
6,73581,296554933,2195041,5.197056874811927e+18,714,51,72867,6678,2026-05-24
7,85689,446054373,1812466,1.257574269555109e+19,438,35,85251,11327,2026-05-24
6,91876,882137605,3217605,1.4102642324183923e+19,573,23,91303,12438,2026-05-25
4,44161,141621191,1562539,1.8521808648296445e+18,872,17,43289,3530,2026-05-25
-1,4,10393,0,7726802993364.0,0,0,4,0,2026-05-25
2,25183,51395345,870125,4.189633991941448e+17,533,24,24650,1504,2026-05-25
5,99474,583599375,3728790,8.772440024342499e+18,1265,41,98209,10635,2026-05-25
0,120215,124894853,10418458,4.997589432420102e+18,8023,482,112192,7142,2026-05-25
3,27230,63637577,955330,9.304197299782461e+17,618,15,26612,1964,2026-05-25
7,87449,644108335,1754493,1.3966046949517994e+19,337,15,87112,7591,2026-05-25
8,346452,7181041589,4435335,4.871073103274996e+20,710,37,345742,89654,2026-05-25
1,67528,82236143,2217356,6.473484135371395e+17,1664,121,65864,3804,2026-05-25
2,119373,1003105497,8888005,1.4684204394245248e+18,1863,150,117510,15607,2026-05-26
1,188075,1633853675,21752273,2.573378148141999e+18,3822,349,184253,22185,2026-05-26
-1,10,73973,535,5881316717131.0,2,0,8,1,2026-05-26
3,157605,1440995923,11010762,2.356830374818688e+18,2196,141,155409,21871,2026-05-26
0,487760,3464993296,122318312,5.367360435509972e+18,22295,3002,465465,75879,2026-05-26
5,522274,8677192038,31982303,1.7051790245685811e+19,4839,292,517435,67657,2026-05-26
8,1228604,51353601031,22240247,9.045043012967188e+20,3244,128,1225360,130403,2026-05-26
6,629420,10570383212,27087957,2.3132791971965624e+19,3654,203,625766,97280,2026-05-26
4,247929,3014453757,16916276,4.825501714652802e+18,3028,204,244901,33380,2026-05-26
7,682960,8690407005,13704828,3.1447784755273347e+19,1906,117,681054,103817,2026-05-26
7,967708,11928872713,28902808,3.3626178701938794e+19,4120,199,963588,142586,2026-05-27
5,619002,7928642449,45362125,1.2398020041489392e+19,8512,554,610490,77779,2026-05-27
6,790727,11540689187,37777172,2.257937706200852e+19,5545,378,785182,118008,2026-05-27
