feat,target,direction,day_type,n,pearson,spearman,partial_sp,beta,t,n_sub
max_gap,回復力 5s,前向き,立会日,19477981,-0.032970040574858084,-0.023273315450684486,-0.05771690039455705,-0.007421054154674401,-145.588677432109,190067
max_gap,回復力 5s,前向き,閉場日,7257414,-0.03552567231694815,-0.028809035309581524,-0.08133097648262923,-0.006941899178863182,-95.76513466433157,70740
mean_gap,|OBI|,同時点,立会日,39150379,0.020832988354169513,0.02086771265790667,NaN,0.0042620544828258534,130.3808507659591,385979
mean_gap,|OBI|,同時点,閉場日,16402345,-0.03393172883302274,-0.0369883706879792,NaN,-0.008376070012146963,-137.50202419894376,162018
mean_gap,|OFI|,同時点,立会日,39150313,-0.05563708507782652,-0.16749022466496497,NaN,-0.8106401010324306,-348.6624641931379,385979
mean_gap,|OFI|,同時点,閉場日,16402314,-0.026093886037994438,-0.05473793191361674,NaN,-0.09000864969694831,-105.7156293491411,162018
mean_gap,回復力 10s,前向き,立会日,19477233,-0.019051192618422655,0.00397580517003362,-0.05607875502080555,-0.01485069368058997,-84.0939210803727,190049
mean_gap,回復力 10s,前向き,閉場日,7257024,-0.024483440570622992,-0.014421468233307394,-0.10825856970998948,-0.018975858460940867,-65.97537584658892,70729
mean_gap,回復力 1s,前向き,立会日,19478762,-0.07003238586106435,-0.07080740906925678,-0.11212999110634772,-0.04829180826602815,-309.84693320421746,190067
mean_gap,回復力 1s,前向き,閉場日,7257775,-0.046711845175057116,-0.02335073475758027,-0.10526875576033273,-0.02475000999365361,-125.98041810434749,70740
mean_gap,回復力 2s,前向き,立会日,19478565,-0.05406789090909114,-0.04345268643765572,-0.08836493099379872,-0.03941415671572099,-238.97562727022392,190067
mean_gap,回復力 2s,前向き,閉場日,7257670,-0.03657461086555276,-0.017976440522400033,-0.10429672749088867,-0.02222044875184329,-98.59818846684203,70740
mean_gap,回復力 30s,前向き,立会日,19473077,-0.008574512007424206,0.02215981423977078,-0.04268041963714486,-0.006810321938227481,-37.83926107044382,190008
mean_gap,回復力 30s,前向き,閉場日,7255088,-0.02356363789909482,-0.013112538326867226,-0.1065414469469461,-0.020004900802499163,-63.48691530902438,70712
mean_gap,回復力 5s,前向き,立会日,19477981,-0.03312125329065896,-0.01341637027791619,-0.06876954268508084,-0.02529394580748385,-146.25713221339143,190067
mean_gap,回復力 5s,前向き,閉場日,7257414,-0.02970639713988779,-0.015959981931349402,-0.10674212815130617,-0.02104797851843227,-80.06313333049641,70740
