metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
latency_ms,売り,立会日,10ms,10,log1p,符号つき,2363358,1.851337771405222e-10,0.0008351413908941034,6.974611427845377e-7,1.2838808847501613
latency_ms,売り,立会日,20ms,20,log1p,符号つき,2363358,5.754621446211985e-10,0.0010196553773228463,1.0396970885033961e-6,1.567538486614191
latency_ms,売り,立会日,50ms,50,log1p,符号つき,2363358,-5.189854752853031e-10,-0.00008467187311847855,7.16932609739173e-9,-0.13016785305789605
latency_ms,売り,立会日,100ms,100,log1p,符号つき,2363358,-1.6760258386655585e-6,-0.0012147888020406224,1.4757118335632904e-6,-1.867521770387383
latency_ms,売り,立会日,500ms,500,log1p,符号つき,2363352,1.0513765869162695e-7,0.00003514813359195498,1.235391294997914e-9,0.05403389695959607
latency_ms,売り,立会日,1s,1000,log1p,符号つき,2363347,1.4443949062336282e-7,0.000036600808673038176,1.3396191955203464e-9,0.05626706258441296
latency_ms,売り,立会日,3s,3000,log1p,符号つき,2363309,1.0133469719251075e-6,0.0002951252631097119,8.709892092557668e-8,0.4536975947086726
latency_ms,売り,立会日,5s,5000,log1p,符号つき,2363277,4.172492202516736e-6,0.0011529684670091714,1.329336285917479e-6,1.7724534937010492
latency_ms,売り,立会日,10s,10000,log1p,符号つき,2363209,1.8821641309568417e-6,0.0004884313761631877,2.385652092206654e-7,0.7508522536989694
latency_ms,売り,立会日,30s,30000,log1p,符号つき,2362948,1.4067605372099267e-6,0.00038900522319187773,1.513250636705626e-7,0.5979740864032985
latency_ms,売り,立会日,50s,50000,log1p,符号つき,2362671,1.227989204758388e-6,0.000292965468657423,8.58287658256635e-8,0.4503165350387871
latency_ms,売り,立会日,100s,100000,log1p,符号つき,2362060,-1.8355360953420071e-6,-0.0004471190315570698,1.9991542838053195e-7,-0.6871767831730878
latency_ms,売り,立会日,10ms,10,log1p,絶対値,2363358,1.5710285108479806e-10,0.0007086937584598545,5.022468432799547e-7,1.0894901039973062
latency_ms,売り,立会日,20ms,20,log1p,絶対値,2363358,3.786759124370134e-10,0.0006709759397993803,4.5020871178966165e-7,1.031505666142562
latency_ms,売り,立会日,50ms,50,log1p,絶対値,2363358,-3.1572178148998704e-8,-0.005151747617833166,0.000026540503517849695,-7.919995140158102
latency_ms,売り,立会日,100ms,100,log1p,絶対値,2363358,-2.137726143127934e-6,-0.0015494939585488224,2.4009315275792997e-6,-2.3820725334939685
latency_ms,売り,立会日,500ms,500,log1p,絶対値,2363352,-0.000015290196115874897,-0.005113661346958582,0.000026149532371378257,-7.8614320213471585
latency_ms,売り,立会日,1s,1000,log1p,絶対値,2363347,-0.00002625461172318463,-0.006656839058881373,0.000044313506255848645,-10.233901725019544
latency_ms,売り,立会日,3s,3000,log1p,絶対値,2363309,-0.000030052239904100156,-0.008777105620832665,0.00007703758307925236,-13.49360908592456
latency_ms,売り,立会日,5s,5000,log1p,絶対値,2363277,-0.000038537570303061565,-0.010696896462702027,0.00011442359393376713,-16.445223144863906
latency_ms,売り,立会日,10s,10000,log1p,絶対値,2363209,-0.000053840161709581875,-0.014087700692042647,0.0001984633107885789,-21.658785400623344
latency_ms,売り,立会日,30s,30000,log1p,絶対値,2362948,-0.00008947899286237771,-0.02548469778795263,0.0006494698213432777,-39.18749138376366
latency_ms,売り,立会日,50s,50000,log1p,絶対値,2362671,-0.00011309210254723577,-0.02800787503098496,0.0007844410637512707,-43.06773256333975
latency_ms,売り,立会日,100s,100000,log1p,絶対値,2362060,-0.0001613476941480609,-0.04270614059158605,0.0018238144442283134,-65.69495236088622
latency_ms,売り,立会日,10ms,10,生,二乗,2363358,5.547390710219738e-17,0.0005946410370322522,3.535979629227923e-7,0.9141543429615455
latency_ms,売り,立会日,20ms,20,生,二乗,2363358,3.9990332554580805e-17,0.00020221328995764163,4.089021463549325e-8,0.31086675288881405
latency_ms,売り,立会日,50ms,50,生,二乗,2363358,-2.5257675440026827e-14,-0.0008334479039891733,6.946354086639462e-7,-1.2812774489710732
latency_ms,売り,立会日,100ms,100,生,二乗,2363358,1.368076827887756e-9,0.00045697325822810877,2.088245587356138e-7,0.7025146809111519
latency_ms,売り,立会日,500ms,500,生,二乗,2363352,3.7342266124308926e-9,0.0005475984956552849,2.9986411244393105e-7,0.8418337500084456
latency_ms,売り,立会日,1s,1000,生,二乗,2363347,-5.017633157805597e-9,-0.0005413386052582304,2.930474855429262e-7,-0.8322094163592961
latency_ms,売り,立会日,3s,3000,生,二乗,2363309,3.194452679202216e-9,0.00040627565224582576,1.6505990560777115e-7,0.6245696876489899
latency_ms,売り,立会日,5s,5000,生,二乗,2363277,-5.928816849838569e-11,-7.3843506364693054e-6,5.4528634322324637e-11,-0.011351923109549265
latency_ms,売り,立会日,10s,10000,生,二乗,2363209,5.474912446901625e-10,0.00006311665736868505,3.983712437395985e-9,0.09702750721081761
latency_ms,売り,立会日,30s,30000,生,二乗,2362948,2.6707234588054136e-9,0.0003576866259775787,1.2793972240322428e-7,0.5498315141676287
latency_ms,売り,立会日,50s,50000,生,二乗,2362671,5.9764665448391315e-9,0.000697501323855026,4.865080967795139e-7,1.072127864450252
latency_ms,売り,立会日,100s,100000,生,二乗,2362060,2.436161642322971e-9,0.0003270522143249339,1.0696315089484251e-7,0.5026461909742792
latency_ms,売り,立会日,10ms,10,生,符号つき,2363358,2.0973133465436058e-13,0.0006526034604539211,4.258912765964325e-7,1.0032612484121566
latency_ms,売り,立会日,20ms,20,生,符号つき,2363358,4.984204638937643e-13,0.0006091780187627658,3.7109785854372865e-7,0.9365023630738496
latency_ms,売り,立会日,50ms,50,生,符号つき,2363358,1.0037536778659923e-12,0.00011295951485723233,1.2759851996781292e-8,0.17365504069992346
latency_ms,売り,立会日,100ms,100,生,符号つき,2363358,-1.8208622085311003e-9,-0.0009103509664750159,8.287388821619955e-7,-1.3995022803712454
latency_ms,売り,立会日,500ms,500,生,符号つき,2363352,1.026294149626775e-9,0.00023666152739416004,5.600867854853676e-8,0.36382429531498817
latency_ms,売り,立会日,1s,1000,生,符号つき,2363347,1.3631563757597066e-9,0.0002382663325115448,5.677084520850203e-8,0.3662910056037146
latency_ms,売り,立会日,3s,3000,生,符号つき,2363309,5.9464315593057995e-9,0.0011945879770754193,1.4270404349731424e-6,1.8364475113667835
latency_ms,売り,立会日,5s,5000,生,符号つき,2363277,8.837785841240558e-9,0.0016845246868298024,2.8376234205390437e-6,2.589614550192907
latency_ms,売り,立会日,10s,10000,生,符号つき,2363209,5.679798916123821e-9,0.0010166973034102939,1.033673406761763e-6,1.5629416993659595
latency_ms,売り,立会日,30s,30000,生,符号つき,2362948,3.923008017047032e-9,0.0007482728781529688,5.599123001793276e-7,1.1502361804637093
latency_ms,売り,立会日,50s,50000,生,符号つき,2362671,4.875783106061193e-9,0.0008023426080158134,6.437536606376172e-7,1.2332792857905475
latency_ms,売り,立会日,100s,100000,生,符号つき,2362060,1.4042181020799644e-9,0.00023591373883101994,5.565529216923068e-8,0.3625755582318961
