feature,horizon_s,target,rho_pooled,rho_partial,rho_day_med,pos_days,n_days,z,p,placebo_pos,placebo_z,backward_rho_med,backward_z,n_obs
h_action,60,vol,0.1561311754332525,0.010822362807367992,0.06166352605279862,92,98,8.687311883149013,3.711162431147465e-18,38,-2.2223355980148636,0.0868435610787214,9.091372900969898,131649
h_side,1,dir,-0.00254458350243406,-0.0026603844983716066,0.000015715394655402516,49,98,0.0,1.0,52,0.6060915267313265,-0.0011363149439499514,-0.40406101782088427,820477
h_side,1,vol,0.2009265735010922,0.023884653525816778,0.12232013164191634,98,98,9.899494936611665,4.1838256077793554e-23,44,-1.0101525445522108,0.17247570486194552,8.889342392059454,820477
h_side,2,dir,-0.000014803238085576631,-0.0006438280012606347,0.0007866179414359091,55,98,1.212183053462653,0.22544231699451311,54,1.0101525445522108,-0.0014414539564386593,-0.20203050891044214,738628
h_side,2,vol,0.19789705553753198,0.021392163358343253,0.11491674035948116,98,98,9.899494936611665,4.1838256077793554e-23,47,-0.40406101782088427,0.158426994342539,8.687311883149013,738628
h_side,5,dir,-0.004732610106192292,-0.004091878231263929,-0.0024325355514282173,41,98,-1.616244071283537,0.10604155370017078,51,0.40406101782088427,0.0009299765888042319,0.0,738145
h_side,5,vol,0.1810917955806457,0.016726245149866238,0.09453770473431145,95,98,9.293403409880339,1.4943199090392912e-20,44,-1.0101525445522108,0.13015167259214025,9.091372900969898,738145
h_side,10,dir,-0.001047610202646974,-0.0008291994926457305,0.0011180051071746485,54,98,1.0101525445522108,0.31242221124269354,46,-0.6060915267313265,0.00005387480555897505,0.0,744358
h_side,10,vol,0.16750743949407584,0.012615229786514283,0.08197067064150407,97,98,9.697464427701224,3.0908411929451085e-22,41,-1.616244071283537,0.11178393481677368,9.293403409880339,744358
h_side,30,dir,-0.002598952028964067,-0.0020953523907755226,-0.000714155671684554,48,98,-0.20203050891044214,0.8398928732712689,48,-0.20203050891044214,-0.004253336632996534,-1.212183053462653,254351
h_side,30,vol,0.13735563858850144,-0.0007716299249276947,0.06441865080419117,94,98,9.091372900969898,9.779623736930363e-20,50,0.20203050891044214,0.08335220697536184,9.091372900969898,254351
h_side,60,dir,-0.0004046681201192834,0.00029690134598704183,-0.002229050325193529,45,98,-0.8081220356417685,0.4190203335343159,39,-2.0203050891044216,-0.004999697438959819,-0.8081220356417685,131649
h_side,60,vol,0.11889343838480947,-0.005376913575123624,0.05382765922596722,89,98,8.081220356417687,6.412182390787846e-16,44,-1.0101525445522108,0.05849491190246836,8.081220356417687,131649
h_dir,1,dir,-0.00041754201596277073,-0.0004787045100681087,-0.0004803416956786069,42,98,-1.4142135623730951,0.15729920705028502,52,0.6060915267313265,-0.0034813946959558533,-3.0304576336566322,820472
h_dir,1,vol,0.05933145579564319,-0.06200532948682415,0.02100970786349598,72,98,4.6467017049401695,3.3728433210803407e-6,47,-0.40406101782088427,0.04737020182851162,5.050762722761053,820472
h_dir,2,dir,-0.0013809098626789958,-0.0018950027912556006,-0.0006750347735385168,46,98,-0.6060915267313265,0.5444539772747026,50,0.20203050891044214,-0.00515901933186556,-2.2223355980148636,738625
h_dir,2,vol,0.06698011433624046,-0.04860362343434479,0.03148760526523578,81,98,6.464976285134148,1.0131469685944181e-10,42,-1.4142135623730951,0.10680257980039334,8.081220356417687,738625
h_dir,5,dir,0.001276524691630241,0.001685160953938124,0.000892308031247962,53,98,0.8081220356417685,0.4190203335343159,43,-1.212183053462653,-0.0036704530004486357,-1.4142135623730951,738144
h_dir,5,vol,0.07363915648269365,-0.031249481414999995,0.03252309889287856,86,98,7.475128829686359,7.7128256356584e-14,45,-0.8081220356417685,0.1063560926109252,8.283250865328128,738144
