feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,1,1,3,0.1,842051.0,4620.0,7481.536688524607,-4640.905731330161,2434.0709571944476,223.34899999999982
obi,1,1,3,0.5,842051.0,19897.0,18571.710571372896,-26484.02658459021,-9663.252013217325,4963.795
obi,1,1,3,1.0,842051.0,42603.0,19829.53179196986,-60286.93546691281,-44206.467674942935,21894.124000000007
obi,1,1,3,3.0,842051.0,120980.0,-8771.543920016571,-167131.365043017,-186549.14896303354,170699.33800000002
obi,1,1,3,5.0,842051.0,177168.0,-41479.6474753251,-242777.6848239762,-299848.1162993014,389952.46600000036
obi,1,1,3,10.0,842051.0,270465.0,-103482.4268972282,-382602.2029672114,-509885.5498644396,1065282.6850000003
obi,1,1,3,30.0,842051.0,439752.0,-216126.4660893614,-660617.9964696671,-915442.6385590287,4145541.282999999
obi,1,1,3,60.0,842051.0,535479.0,-275512.2516361128,-874805.9757463264,-1197440.3793824385,8262873.3469999945
obi,1,1,4,0.1,833454.0,3470.0,5627.862034021592,-3368.7722244148285,1953.7298096067634,172.20299999999997
obi,1,1,4,0.5,833454.0,16057.0,15340.674905118722,-20659.142891000574,-6731.483985881854,4145.405
obi,1,1,4,1.0,833454.0,36011.0,16394.03537892482,-48445.8087672099,-35220.74138828507,19063.661000000004
obi,1,1,4,3.0,833454.0,109624.0,-10442.726954524274,-147549.7873410654,-167639.4262955897,159474.851
obi,1,1,4,5.0,833454.0,163181.0,-40297.54702452982,-221858.49930292572,-276515.97432745557,368621.99400000006
obi,1,1,4,10.0,833454.0,253565.0,-99764.62396397792,-356272.66975305584,-478351.0137170337,1022605.951
obi,1,1,4,30.0,833454.0,418235.0,-208533.12307767587,-615542.023817626,-860879.8268953027,4029574.075999998
obi,1,1,4,60.0,833454.0,515062.0,-265572.3026141929,-810481.9642584644,-1121379.722872659,8200203.209999994
obi,1,1,5,0.1,860433.0,2920.0,4834.9342278873255,-2857.652967582631,1720.3212603046934,142.92299999999992
obi,1,1,5,0.5,860433.0,14346.0,13713.609639138956,-18181.09649910672,-5729.934859967757,3781.3710000000005
obi,1,1,5,1.0,860433.0,33504.0,15187.508114116572,-45364.72586664069,-33125.569752524105,18125.591999999993
obi,1,1,5,3.0,860433.0,105960.0,-13323.014417610635,-140781.50691725034,-163429.00133486098,156681.902
obi,1,1,5,5.0,860433.0,159209.0,-46631.85240531121,-214278.23788159608,-274920.4822869074,364740.187
obi,1,1,5,10.0,860433.0,248853.0,-110920.18469287449,-348832.28424452816,-481651.53293740295,1014327.0820000004
obi,1,1,5,30.0,860433.0,415415.0,-227621.09809508207,-614350.8285534948,-878528.4466485769,4061744.3720000032
obi,1,1,5,60.0,860433.0,514418.0,-291243.35264323297,-795518.8434225956,-1132030.980065829,8314823.547999998
obi,1,1,6,0.1,834960.0,2480.0,4060.5864720396958,-2620.6208220147146,1221.7256500249791,124.464
obi,1,1,6,0.5,834960.0,13115.0,11874.598382751696,-17021.73883462363,-6301.260451871934,3536.975999999999
obi,1,1,6,1.0,834960.0,31240.0,12849.063543210263,-43459.803060657054,-33359.8595174468,17125.037999999997
