k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
3,-1,0.1,8465276.0,21412.0,103510.50007458124,54088.29054075234,47537.9535338289,1014.3419999999999
3,-1,0.5,8465276.0,84300.0,275867.2012183457,203072.36922744458,65376.43199090115,20462.377000000004
3,-1,1.0,8465276.0,178930.0,447711.8629572331,458945.8086606249,-26979.7857033916,91336.72
3,-1,3.0,8465276.0,542631.0,965333.7051646924,1421172.9957743338,-503590.8186096417,792720.8700000003
3,-1,5.0,8465276.0,835952.0,1334226.4133552979,2263717.603453135,-1003054.9660978365,1943904.839
3,-1,10.0,8465276.0,1387137.0,2021548.390700728,3982283.7329107723,-2082803.398210044,5968049.2700000005
3,-1,30.0,8465276.0,2593105.0,3852041.557720507,8315270.80493376,-4691422.487213253,28426414.182
3,-1,60.0,8465276.0,3454583.0,5413185.387451771,11791404.606779646,-6682222.523327874,65827447.48699999
4,1,0.1,8465276.0,15822.0,95600.16423085294,-48216.751559426906,45991.07667142602,742.0780000000005
4,1,0.5,8465276.0,64838.0,259768.92352261452,-182826.6245051517,71236.55501746292,16037.761999999999
4,1,1.0,8465276.0,140961.0,430437.35353526985,-420787.9299842479,-2755.1444489780906,73086.67100000003
4,1,3.0,8465276.0,450099.0,969026.027358975,-1353418.8728077528,-424001.55744877714,676102.327
4,1,5.0,8465276.0,708272.0,1352621.8362539837,-2190317.1164735598,-900023.2162195753,1694384.369
4,1,10.0,8465276.0,1208201.0,2072985.8974066207,-3963134.4327356573,-1996470.2233290381,5359393.6400000015
4,1,30.0,8465276.0,2345295.0,3941246.6841150634,-8568184.356100846,-4833323.63198578,26628377.915999997
4,1,60.0,8465276.0,3183937.0,5539825.175168754,-12355232.22019997,-7095593.501031224,63090035.193
4,-1,0.1,8465276.0,16350.0,93748.90075861353,49095.68508852262,43214.41567009093,771.3360000000001
4,-1,0.5,8465276.0,65312.0,253897.1407985575,181952.33838222944,66197.34641632819,15989.748000000003
4,-1,1.0,8465276.0,142200.0,422257.9782214623,412947.66949738417,-3203.2912759219644,73754.47199999998
4,-1,3.0,8465276.0,457397.0,949794.3120623163,1308736.9061712646,-399193.53010894737,685348.6340000002
4,-1,5.0,8465276.0,721870.0,1331946.2468233153,2109510.4049480143,-841088.7181246984,1725101.9140000006
4,-1,10.0,8465276.0,1234895.0,2045188.2481807661,3775715.3232926284,-1839197.835111862,5478648.453999999
4,-1,30.0,8465276.0,2394286.0,3923079.3002658705,8098355.515432965,-4385973.383167093,27131924.490999997
4,-1,60.0,8465276.0,3247000.0,5494481.994670872,11612134.158391077,-6403388.1637202045,64184284.83399999
5,1,0.1,8465276.0,12670.0,88475.13232358126,-44181.61102225601,43178.56130132531,591.5709999999997
5,1,0.5,8465276.0,51697.0,242483.235734298,-165611.75919015423,72322.14054414362,12824.908
5,1,1.0,8465276.0,114047.0,407738.29316886613,-381828.4751832497,15873.681985616515,59662.33300000001
5,1,3.0,8465276.0,382549.0,950860.9226309384,-1251836.0876134378,-334639.47698249883,586055.0599999999
5,1,5.0,8465276.0,615489.0,1345198.5195629713,-2048379.5213942493,-757344.0338312786,1506091.269
5,1,10.0,8465276.0,1079680.0,2088406.4372430292,-3762975.935543601,-1769581.33830057,4916228.717
5,1,30.0,8465276.0,2172770.0,4004810.9124375787,-8313526.278322069,-4499919.1258844845,25433780.50299999
5,1,60.0,8465276.0,3004926.0,5642561.35907692,-12147271.775493529,-6769143.904416613,61648912.897999994
5,-1,0.1,8465276.0,12928.0,85930.71753908563,44895.704213723046,39897.34932536259,607.7300000000004
5,-1,0.5,8465276.0,51810.0,235044.3101963496,164658.94711861573,65826.08307773393,12732.772999999997
5,-1,1.0,8465276.0,114835.0,398539.9318706217,374559.9612755412,13874.490595080297,60166.59100000001
5,-1,3.0,8465276.0,388156.0,930515.0544564452,1207764.120147563,-311406.7936911179,593524.5939999999
5,-1,5.0,8465276.0,626139.0,1320039.2001127915,1968784.4745324852,-703845.5064196942,1530586.6510000003
5,-1,10.0,8465276.0,1101330.0,2052454.5573352976,3578576.698911516,-1623039.1815762194,5014404.853
5,-1,30.0,8465276.0,2213528.0,3957978.263498003,7859914.527368682,-4096726.7278706813,25868409.805999998
5,-1,60.0,8465276.0,3058171.0,5547343.087410711,11351509.753176795,-6073285.713766081,62614657.19399998
6,1,0.1,8465276.0,10359.0,81795.76631389634,-40823.25283811691,40060.921475779425,482.77399999999983
6,1,0.5,8465276.0,41673.0,225298.56440827702,-150204.79575675217,71426.54465152482,10305.059999999998
6,1,1.0,8465276.0,92941.0,383904.9641256425,-347496.93971146084,28229.21641418174,48907.099
6,1,3.0,8465276.0,326343.0,921959.2648241584,-1158452.7795062019,-265211.6986820436,508783.5160000001
6,1,5.0,8465276.0,536959.0,1320499.7971011566,-1916768.0584829666,-643520.65338181,1341769.405
6,1,10.0,8465276.0,967494.0,2074358.0131374598,-3577259.0160862003,-1588040.4749487422,4510841.1910000015
6,1,30.0,8465276.0,2016377.0,4023246.621949941,-8072100.1766911615,-4226294.730741223,24260232.67200001
6,1,60.0,8465276.0,2838003.0,5681890.427824426,-11925745.501448002,-6493599.337623572,60045778.62000001
6,-1,0.1,8465276.0,10486.0,79073.43956047806,41154.32220840318,36996.34935207486,492.249
6,-1,0.5,8465276.0,41604.0,217061.01825089843,149162.2067316071,64237.65951929144,10196.126
6,-1,1.0,8465276.0,93427.0,372592.9718810851,340619.749833849,23751.64604723573,49290.258
6,-1,3.0,8465276.0,330504.0,898452.3778571603,1116492.9626071837,-247124.9367500239,514360.93499999994
6,-1,5.0,8465276.0,544659.0,1290007.3899080886,1837481.9800722282,-595404.5821641398,1358736.94
6,-1,10.0,8465276.0,983950.0,2032721.7186360627,3390427.2232732554,-1444293.1046371935,4584563.050999998
6,-1,30.0,8465276.0,2048314.0,3953236.935236444,7620190.660912939,-3847205.357676498,24609366.396
