feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,1,1,6,3.0,798952.0,70607.0,106593.15550992796,-147187.16276730053,-46807.42325737263,99377.73200000002
obi,1,1,6,5.0,798952.0,104765.0,144445.3052885486,-231900.68946178953,-96674.70417324094,233419.56200000006
obi,1,1,6,10.0,798952.0,165020.0,216163.3576789916,-407251.67094922776,-205610.07327023623,671548.4779999997
obi,1,1,6,30.0,798952.0,289808.0,420664.38969437376,-794840.1100308252,-399678.82433644927,2978075.824999998
obi,1,1,6,60.0,798952.0,371379.0,598237.097560797,-1113221.7177740238,-547665.9722132245,6517933.276999999
obi,1,1,7,0.1,817056.0,2722.0,10691.23389503174,-3804.3152197985955,6647.382675233147,130.19
obi,1,1,7,0.5,817056.0,11320.0,28658.36007066271,-16494.956055940114,11167.244014722606,2819.032
obi,1,1,7,1.0,817056.0,24263.0,46401.41651723536,-42143.5182111198,2122.7543061155566,12424.736000000003
obi,1,1,7,3.0,817056.0,68791.0,95688.95035375602,-140465.12218618902,-50829.77983243298,98094.45499999997
obi,1,1,7,5.0,817056.0,102202.0,129254.28069714716,-229265.15183455503,-109004.64713740787,229377.831
obi,1,1,7,10.0,817056.0,161957.0,191396.32465280374,-396007.02859465877,-218862.91994185522,665611.072
obi,1,1,7,30.0,817056.0,285396.0,367612.5796174608,-779833.9702447683,-437336.2386273082,2953782.0270000002
obi,1,1,7,60.0,817056.0,370311.0,535870.2790833847,-1088346.9443294294,-585064.0332460449,6635518.889000002
obi,1,1,8,0.1,836469.0,2172.0,10174.420663692083,-3523.5216926988296,6459.762970993251,104.87199999999999
obi,1,1,8,0.5,836469.0,9948.0,26944.55148841508,-14549.83538536644,11519.292103048652,2542.410000000001
obi,1,1,8,1.0,836469.0,22160.0,44458.60679531958,-38425.42370871741,4083.103086602161,11645.548
obi,1,1,8,3.0,836469.0,64967.0,95670.28277243406,-135633.778956998,-45680.59218456393,94265.29699999996
obi,1,1,8,5.0,836469.0,97537.0,131195.3750332474,-223721.38485659563,-101109.2658233482,222502.32199999996
