rule,trig_rate,lat_ms,n,n_cancel,n_fill,sum_mk,sum_edge,sum_pnl,fill,canc,markout,edge,pnl,ev
無作為,0.1,300,6739198,5903144,944908,-1049936.4281512194,-74646.71410210186,-1207735.0462533212,0.14021074911287665,0.8759416179788753,-1.1111520149593606,-0.07899892275449236,-1.278150937713853,-0.17921050045618503
無作為,0.2,0,6739198,6153794,585160,-641516.5911888466,69806.0495252459,-623204.6216636008,0.08682932301440023,0.9131344708969821,-1.096309712196402,0.11929395297909272,-1.0650157592173095,-0.09247459737250646
無作為,0.2,65,6739198,6153794,592528,-652133.3471991679,69562.8495253955,-634712.9616737724,0.08792262818216648,0.9131344708969821,-1.1005949882523154,0.11740010518557015,-1.0711948830667453,-0.09418226941451675
無作為,0.2,130,6739198,6153794,622916,-695455.2914182502,69639.00720986883,-680632.8922083813,0.09243177007115684,0.9131344708969821,-1.116451161020507,0.1117951813886123,-1.0926559796318946,-0.10099612627620992
無作為,0.2,200,6739198,6153794,660984,-746572.0806740328,66982.58733545571,-737756.085338577,0.09808051343794914,0.9131344708969821,-1.1294858584686358,0.1013376834166269,-1.1161481750520088,-0.10947238608193097
無作為,0.2,300,6739198,6153794,726533,-832474.5260805248,58194.96461907376,-838214.465461451,0.10780704172811068,0.9131344708969821,-1.1458179134058946,0.08009954760358272,-1.1537183658023118,-0.12437896400453748
無作為,0.4,0,6739198,6350845,388176,-420394.89204641286,83149.73379154944,-371404.6462548634,0.05759973219365272,0.9423740035535386,-1.0830007317464574,0.2142062718755138,-0.9567944598709436,-0.055111104652936956
無作為,0.4,65,6739198,6350845,396833,-433919.9785863497,84364.68895114741,-384476.59363520227,0.05888430641153443,0.9423740035535386,-1.0934573953939055,0.2125949428377867,-0.9688624525561187,-0.05705079352694523
無作為,0.4,130,6739198,6350845,432712,-486592.42708206165,89676.95093932719,-434994.1321427345,0.06420823368003137,0.9423740035535386,-1.1245179867488344,0.20724396582328936,-1.005274020925545,-0.06454686924805214
無作為,0.4,200,6739198,6350845,477176,-549747.5609694488,93354.01751010248,-498385.0314593463,0.07080605140255562,0.9423740035535386,-1.1520855218398427,0.19563854324212132,-1.0444469785977213,-0.07395316645383417
無作為,0.4,300,6739198,6350845,556540,-657798.344394632,93824.32179384059,-612949.5426007914,0.08258252688227886,0.9423740035535386,-1.1819426175919647,0.16858504652646816,-1.1013575710654966,-0.09095289121951773
