d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-07-10,186089.743,185206.109,35463511.42667,35284017.16719,40733,39132,70747528.59386,179494.25947999954,50.12685549802766,0.13860299235441892
2026-07-11,8623.547,8674.622,1646617.89316,1654870.73747,5768,4720,3301488.63063,-8252.844310000073,49.87501328592452,-0.04510706509704718
2026-07-12,28451.349,28257.249,5389092.9847099995,5355780.7315,10361,9263,10744873.71621,33312.25320999976,50.15501463344209,0.06955140262592399
2026-07-13,328074.903,312807.621,57755158.49339,55196650.30486,61184,56124,112951808.79825,2558508.188529998,51.13256627572025,1.3468435692123826
2026-07-14,331324.594,321933.309,59208540.46764,57326224.33834,63187,65300,116534764.80598,1882316.1292999983,50.807619997532015,0.9922617457097294
2026-07-15,192119.206,220855.818,34804268.83724,39974395.77788,49904,51488,74778664.61512,-5170126.940639995,46.54304675855725,-3.179320658832223
2026-07-16,242537.962,226764.011,41451904.85589,38723031.93723,60298,58353,80174936.79312,2728872.91866,51.7018241783598,1.4968032976243875
2026-07-17,275192.132,289594.985,45226283.00325,47560241.33233,78635,78801,92786524.33558,-2333958.3290800005,48.742296715071035,-1.4145192052752682
2026-07-18,18900.472,19826.259,3169588.95787,3321079.22925,7609,7870,6490668.18712,-151490.27137999982,48.83301482210556,-0.381051685737378
2026-07-19,66007.941,60418.948,10965827.59962,10008909.03673,16199,17491,20974736.63635,956918.5628899988,52.28112175966878,0.974348732272967
2026-07-20,194798.436,179756.714,32676941.38615,30197411.60956,55463,55197,62874352.99571,2479529.776589997,51.971813353498185,2.381506222609585
2026-07-21,163633.387,163601.86,28773550.44174,28747559.38293,48357,48730,57521109.82467,25991.058809999377,50.02259262633251,0.022826756908049663
2026-07-22,161662.089,157104.721,29052526.66737,28281813.24934,50830,51262,57334339.916710004,770713.4180299975,50.67212199455825,0.6076721373245703
2026-07-23,140900.874,147290.224,25645075.102140002,26827941.18383,39453,41265,52473016.28597,-1182866.0816899985,48.87288156331289,-1.139298591098585
2026-07-24,193852.449,178519.426,33143189.67145,30507526.74609,50035,41948,63650716.41754,2635662.9253600016,52.070411044606644,2.0965714836312137
2026-07-25,18993.86,20506.684,3218390.73375,3475545.28177,9367,9542,6693936.01552,-257154.54801999964,48.079197743870104,-0.7174128456904191
2026-07-26,29546.227,29352.237,5156728.24911,5121126.27364,12153,9719,10277854.522750001,35601.97546999995,50.173197506304426,0.07713662769437934
2026-07-27,232193.317,266756.558,39022476.84653,44661776.97467,60459,64063,83684253.8212,-5639300.1281400025,46.63060858486654,-3.148590448668562
2026-07-28,439373.799,381033.989,66605433.41369,57767293.97695,88522,75745,124372727.39063999,8838139.436740004,53.55308580191398,4.0164235845628165
2026-07-29,953963.543,996793.175,138538314.40067,144575661.26016,138237,138054,283113975.66083,-6037346.859490007,48.93376036181224,-1.4493643601053459
2026-07-30,821792.498,853163.06,126118575.92048,129741611.38337,102458,100572,255860187.30385,-3623035.462889999,49.29198921077405,-0.7566821502378038
2026-07-31,801390.85,808849.147,140548524.51096,141678670.76867,104354,107241,282227195.27963,-1130146.25770998,49.799780765884336,-0.2306948848327878
2026-08-01,27291.459,34869.928,4448880.78003,5671230.52396,11012,10685,10120111.303989999,-1222349.7439299999,43.96078903080804,-1.2248163349922716
2026-08-02,90708.887,92841.961,15582699.85908,15968005.58356,22350,22750,31550705.44264,-385305.7244799994,49.38938651438318,-0.35831256732437083
2026-08-03,321440.035,343162.076,53616602.54752,57212352.82793,58251,56414,110828955.37545,-3595750.2804100066,48.377792938574196,-1.7808557086882735
2026-08-04,383276.779,378777.493,65193021.70078,64491340.80962,51451,47601,129684362.5104,701680.8911599964,50.2705341174437,0.22018884763279875
2026-08-05,229096.612,243546.916,39539495.84621,42001940.49408,41039,40511,81541436.34029001,-2462444.6478699967,48.49006544501271,-1.3740843529788054
2026-08-06,297820.507,298168.489,49076963.39248,49047057.9309,47084,49807,98124021.32338,29905.461580000818,50.015238603746916,0.01409839556998633
2026-08-07,228205.864,222838.911,37547964.26966,36643380.58854,38647,36697,74191344.85820001,904583.6811200008,50.609628847440966,0.4541508354751267
2026-08-08,10758.652,16899.618,1801682.57822,2832482.31748,3719,5687,4634164.8957,-1030799.7392600002,38.87825786889381,-2.6739565837812287
2026-08-09,37126.985,28918.045,6224702.72599,4847707.67569,6781,8713,11072410.40168,1376995.0503000002,56.21813589067774,1.617319520952252
2026-08-10,197111.792,217965.635,32106316.8088,35494941.01106,33972,33840,67601257.81986,-3388624.202259999,47.49366778700345,-1.8394812033497874
