feature,label,target,h_grid,horizon,n,corr_fwd,corr_bwd,corr_placebo,corr_placebo_day,corr_partial,ci95,beta_bp_per_sd,oos_corr,signed
imp_avg_q5,価格インパクト(平均、Q=5),dir,60,5分,28028,0.003554484668977585,-0.0030300974425189406,0.00799269366053506,0.00716976006387595,-0.008218509394885038,0.011708014745354177,-0.30615651608896505,-0.021109715422792042,false
imp_avg_q5,価格インパクト(平均、Q=5),mag,60,5分,28028,0.03320060432256744,0.04492399770403262,0.015681601527108287,0.016131081883503793,-0.03479877734180283,0.011708014745354177,0.12483931093624544,0.16488689788400324,false
imp_avg_q5,価格インパクト(平均、Q=5),vol,60,5分,28028,0.03749502657429887,0.04153916825405543,-0.0023502435376634287,0.004627732466628524,-0.05657690472358976,0.011708014745354177,0.3516827824760312,0.23738968479696768,false
imp_asym_q5,価格インパクトの非対称(売り−買い、Q=5),dir,60,5分,28028,-0.006792617226713096,-0.027035423433609606,0.009076996763012076,-0.0003581508828128281,-0.00261033526604039,0.011708014745354177,-0.1503424851309613,0.012391187696124484,true
imp_asym_q5,価格インパクトの非対称(売り−買い、Q=5),mag,60,5分,28028,-0.015087498246329762,-0.03235617051054254,-0.007798593275427112,-0.015206056678926293,0.0116820908716357,0.011708014745354177,-0.22031514081861578,0.03206434526038584,true
imp_asym_q5,価格インパクトの非対称(売り−買い、Q=5),vol,60,5分,28028,-0.021735099584568426,-0.03763052429822518,-0.00036935975587270556,-0.024788853797680206,0.020142049824586006,0.011708014745354177,-0.27145334663363835,0.04415807862085424,true
imp_avg_q50,価格インパクト(平均、Q=50),dir,60,5分,28028,0.0033002896505952275,-0.012293146165870562,0.0026346327723257832,0.005858041714515938,-0.0028826970517245847,0.011708014745354177,-0.23846046647628058,-0.02217367486591246,false
imp_avg_q50,価格インパクト(平均、Q=50),mag,60,5分,28028,-0.04558603721400321,-0.0301930019466858,0.0210096718196742,-0.003910252113517796,-0.04970032379370607,0.011708014745354177,-1.9363876318777624,-0.08722699837264222,false
imp_avg_q50,価格インパクト(平均、Q=50),vol,60,5分,28028,-0.06870939909899063,-0.05670035200666697,-0.00005562018108455432,-0.026285393465535344,-0.08067535867383785,0.011708014745354177,-1.595514859422181,-0.11088204052861966,false
slp_avg_q5,スリッページ(平均、Q=5),dir,60,5分,28028,-0.004956596471687346,-0.010513486453576982,0.00348418631347811,0.0027817805432510992,-0.008218509591355389,0.011708014745354177,-0.5752690430798921,-0.015362801443299438,false
slp_avg_q5,スリッページ(平均、Q=5),mag,60,5分,28028,-0.062282251745504634,-0.04524458404059633,0.0130719998479593,-0.013792171219753811,-0.03479877716392185,0.011708014745354177,-1.8213713531277202,0.035956089255287337,false
slp_avg_q5,スリッページ(平均、Q=5),vol,60,5分,28028,-0.08932487215139472,-0.0804750948446672,-0.005003383675320485,-0.034124721375910036,-0.056576905876727875,0.011708014745354177,-1.5119505023519564,0.07059204498637839,false
lv_avg_q5,削る価格水準の数(平均、Q=5),dir,60,5分,28028,-0.0031074683955382076,-0.0006831539136895399,0.004865614372970492,0.0028107642566943,-0.004044412312222498,0.011708014745354177,-0.25118519520637056,0.00114643110975089,false
lv_avg_q5,削る価格水準の数(平均、Q=5),mag,60,5分,28028,-0.15511793623239464,-0.16613387969272206,-0.004433160459123264,-0.060304831655637686,-0.04446367621380626,0.011708014745354177,-3.5721783878472673,0.18517635737370328,false
lv_avg_q5,削る価格水準の数(平均、Q=5),vol,60,5分,28028,-0.2284186122780376,-0.2301381432906308,-0.024845362487550118,-0.1023481570236827,-0.08454985539785885,0.011708014745354177,-3.4983212342352203,0.29934383637141665,false
lv_avg_q50,削る価格水準の数(平均、Q=50),dir,60,5分,28028,0.003132006531228696,-0.009099684889756753,0.0036199385105220197,0.004766003544721172,0.0018481805813773697,0.011708014745354177,-0.03491006796145747,-0.003055177489494522,false
lv_avg_q50,削る価格水準の数(平均、Q=50),mag,60,5分,28028,-0.14815495530096984,-0.1552616168398032,-0.011107162282917972,-0.06255762430564915,-0.04696092188906021,0.011708014745354177,-3.489666173072737,0.2029970361754405,false
lv_avg_q50,削る価格水準の数(平均、Q=50),vol,60,5分,28028,-0.21479652996712076,-0.21550325607955137,-0.03962994642684502,-0.11368043255947277,-0.08251919514625426,0.011708014745354177,-3.2888799127329444,0.32256665672026075,false
mdep_avg_q5,marginal depth(平均、Q=5),dir,60,5分,28028,-0.0005007249694181505,0.0018383190595154095,-0.0105656855184679,0.001728759816337327,0.0007785848407745729,0.011708014745354177,0.13464669977355628,-0.0015292786626585515,false
mdep_avg_q5,marginal depth(平均、Q=5),mag,60,5分,28028,0.018831773554872925,0.023175222060512972,-0.006504143564374724,0.012965868730994928,-0.0012679464005240608,0.011708014745354177,0.3196397465067685,0.01821003570123326,false
mdep_avg_q5,marginal depth(平均、Q=5),vol,60,5分,28028,0.036222453078779006,0.03898560333561505,-0.011118666429690179,0.010383062334258796,0.009829826650868522,0.011708014745354177,0.29293941709151433,0.0363320892131333,false
mimp_avg_q5,marginal impact(平均、Q=5),dir,60,5分,28028,-0.0003041997836585516,-0.028832948323043377,-0.001426398264310935,-0.0018032861628990552,-0.0025477491342728946,0.011708014745354177,-0.2803902792114827,-0.01767128068880672,false
mimp_avg_q5,marginal impact(平均、Q=5),mag,60,5分,28028,-0.0793299938058796,-0.053229207548077445,0.022318015325102972,-0.016016906937631515,-0.053992652356487585,0.011708014745354177,-2.243755910765077,0.07740899658736738,false
