luid,usd,n,pnl,days,long_share
L372,16996.13064,3,-2810.42322,1,1.0
L373,16957.20264,2,-945.7273200000001,1,1.0
L374,16904.38584,4,-742.68178,2,0.75
L375,16879.83325,19,-899.835273,7,0.15789473684210525
L376,16861.76525,11,-784.071988,3,0.0
L377,16834.4674,2,-932.4464700000001,1,1.0
L378,16823.021119999998,5,-8428.654032,1,1.0
L379,16719.5068,5,-932.17001,2,1.0
L380,16648.5056,1,-4337.04512,1,1.0
L381,16629.9373,5,-1228.65956,1,0.0
L382,16563.14361,16,-922.00037,2,1.0
L383,16545.951,1,-906.632082,1,1.0
L384,16466.64827,3,-960.961185,2,1.0
L385,16429.04741,2,-907.2808439999999,1,1.0
L386,16391.870669999997,3,-1335.12533,1,1.0
L387,16388.17887,12,-6121.6552090000005,1,1.0
L388,16342.30447,6,-923.304586,2,0.16666666666666666
L389,16336.917640000001,5,-1676.406311,1,1.0
L390,15951.61224,4,-886.091589,1,0.0
L391,15668.170489999999,7,-1390.4798990000002,6,1.0
L392,15542.8416,3,-1773.1583999999998,1,1.0
L393,15316.25118,8,-832.551858,1,1.0
L394,15220.223,13,-836.764376,2,1.0
L395,15182.75985,13,-1831.239098,2,1.0
L396,15110.03724,2,93.73308,1,1.0
L397,14923.197,10,-817.7759120000001,1,1.0
L398,14894.51564,2,-862.853994,1,1.0
L399,14893.072200000002,3,-763.100604,1,0.0
L400,14888.51784,15,-763.157801,10,0.9333333333333333
L401,14812.87,2,-422.94561600000003,1,1.0
L402,14806.48646,18,-1287.241371,2,0.0
L403,14715.70369,2,-772.325996,2,0.5
L404,14703.447100000001,2,-805.413489,1,1.0
L405,14695.792000000001,1,-800.65416,1,1.0
L406,14677.105,1,-677.12,1,0.0
L407,14649.22106,8,-1414.71598,3,1.0
L408,14603.435759999998,3,-2488.734672,1,1.0
L409,14556.9276,1,-657.9,1,0.0
L410,14300.04144,5,-801.806148,4,1.0
L411,14255.639000000001,1,-792.1399,1,1.0
L412,14230.5248,1,-778.7712,1,1.0
L413,14207.685000000001,2,-792.149,1,1.0
L414,14124.42108,6,-1510.449288,1,1.0
L415,14019.298999999999,4,-762.281515,1,1.0
L416,14014.22752,9,-767.701704,3,1.0
L417,13999.29752,16,-785.644314,5,1.0
L418,13967.74107,26,-644.05102,1,0.0
L419,13958.66,2,-3879.9069329999998,1,1.0
L420,13889.518919999999,1,-2518.162008,1,1.0
L421,13794.402000000002,1,-636.03,1,0.0
L422,13730.058869999999,15,-773.137486,4,1.0
L423,13566.966840000001,2,-759.988026,2,1.0
L424,13554.603879999999,4,-989.33626,1,1.0
L425,13526.53513,4,-633.04552,1,0.0
L426,13472.45218,13,-617.408137,6,0.6153846153846154
L427,13438.97696,2,-2174.53704,1,1.0
L428,13437.46386,2,-738.9041400000001,1,1.0
L429,13320.6008,2,-785.741002,2,1.0
L430,13125.51096,1,-2442.58584,1,1.0
L431,13108.84158,2,-764.912644,1,0.0
L432,12822.592,1,-5170.67538,1,1.0
L433,12777.599999999999,1,-725.988,1,1.0
L434,12755.411499999998,3,-2243.9885,1,1.0
L435,12650.60167,6,-2347.662511,1,1.0
L436,12608.023130000001,4,-1047.975766,1,1.0
L437,12591.3478,4,-2310.45313,1,1.0
