k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
5,1,3.0,8467190.0,1051110.0,-83819.3013744655,-1447998.7085198099,-1624315.6898942757,1518140.4000000001
5,1,5.0,8467190.0,1564772.0,-322709.43311671185,-2171680.40070989,-2632089.769826603,3530942.58
5,1,10.0,8467190.0,2429722.0,-724744.8506298471,-3490692.3553496306,-4429252.741979475,9801254.878999999
5,1,30.0,8467190.0,4011956.0,-1254881.6519002325,-6173597.661204098,-7781531.441104333,38695197.27700001
5,1,60.0,8467190.0,4976257.0,-1384387.3552997005,-8138078.852517802,-9960376.8238175,80267108.93900003
5,-1,0.1,8467190.0,43709.0,60736.28667706927,49021.975951875036,7867.918725194266,2061.0320000000006
5,-1,0.5,8467190.0,170776.0,140775.99846854532,230352.29640810133,-104604.58593955597,41432.62799999999
5,-1,1.0,8467190.0,359608.0,144051.27515092472,503326.20459103084,-390920.43344010616,183164.26600000003
5,-1,3.0,8467190.0,1099010.0,-82062.4351694001,1440543.57702477,-1619318.892194171,1573981.3140000002
5,-1,5.0,8467190.0,1650872.0,-312307.7414518139,2164371.119048058,-2621955.596499872,3708022.0859999997
5,-1,10.0,8467190.0,2577745.0,-673171.2914011042,3468310.4706329405,-4368323.322034043,10369601.849999998
5,-1,30.0,8467190.0,4244073.0,-1016247.1248632207,6149123.476976195,-7538849.0258394135,40605888.306000024
5,-1,60.0,8467190.0,5209101.0,-974281.5420824232,8023810.915925511,-9456493.346007936,82018607.51399997
6,1,0.1,8467190.0,33219.0,50590.61568193413,-41183.14567180764,6484.1980101265135,1624.1499999999999
6,1,0.5,8467190.0,150841.0,135186.9547831488,-214793.6802711338,-92880.73348798502,38169.84199999999
6,1,1.0,8467190.0,328535.0,149202.9729239155,-476355.7914476623,-356063.898523747,171366.59000000003
6,1,3.0,8467190.0,985133.0,-53172.27550698719,-1384930.5158761523,-1524794.495383139,1434118.344
6,1,5.0,8467190.0,1475640.0,-272089.2748840347,-2087233.649835115,-2489179.2447191495,3357026.0480000004
6,1,10.0,8467190.0,2307694.0,-645614.2451394905,-3378463.1774943573,-4227154.494633848,9393021.431000005
6,1,30.0,8467190.0,3850800.0,-1131492.5169893627,-6044234.5060428865,-7514597.423032247,37620141.44
6,1,60.0,8467190.0,4809281.0,-1244669.568340726,-8012249.792233913,-9680136.088574639,78985792.95899996
6,-1,0.1,8467190.0,39163.0,58518.28834127416,46003.26995049178,9068.674390782375,1847.1430000000003
6,-1,0.5,8467190.0,155235.0,138553.65184291656,217463.1522869274,-92570.18044401068,37932.87599999999
6,-1,1.0,8467190.0,331122.0,147680.6707454275,477885.41452769807,-359343.4797822706,170067.00199999995
6,-1,3.0,8467190.0,1028207.0,-51423.65798958115,1379009.7162930872,-1520915.5902826693,1484304.7619999999
6,-1,5.0,8467190.0,1552718.0,-264316.5091027521,2082843.3803646446,-2483799.073467397,3514245.3759999997
6,-1,10.0,8467190.0,2441720.0,-601910.901382792,3364720.4626788213,-4181502.724061612,9910725.395000001
6,-1,30.0,8467190.0,4062682.0,-920351.7606098494,6040217.138794068,-7318084.9154039165,39392353.210999995
6,-1,60.0,8467190.0,5023664.0,-869729.9208631106,7976609.512986251,-9288421.865849359,80688147.81100002
7,1,0.1,8467190.0,29810.0,48498.641410920565,-38843.763294991586,7031.598115928956,1458.5839999999996
7,1,0.5,8467190.0,137874.0,133055.33785596403,-203414.45346033745,-82492.02760437349,35135.336999999985
7,1,1.0,8467190.0,303887.0,152043.39103482073,-453591.4835759156,-328290.1485410949,159689.07099999997
7,1,3.0,8467190.0,926790.0,-26421.062618498858,-1329349.4566502138,-1437328.039268713,1359584.3340000003
7,1,5.0,8467190.0,1396684.0,-228596.25824421836,-2013404.0996793127,-2364908.549923531,3202522.038999999
7,1,10.0,8467190.0,2199062.0,-577191.5625666024,-3280247.296780321,-4050956.315346921,9026954.604
7,1,30.0,8467190.0,3705379.0,-1026348.0782362046,-5919877.439971533,-7272298.870207737,36617308.495
7,1,60.0,8467190.0,4655664.0,-1121579.3087302307,-7902568.460304641,-9433846.20103487,77656309.48699994
7,-1,0.1,8467190.0,35179.0,56512.802893084714,43379.1343602902,10037.91653279454,1661.7490000000003
7,-1,0.5,8467190.0,141651.0,136417.91468543684,205891.01598868126,-81938.38930324448,34861.014
7,-1,1.0,8467190.0,305821.0,150896.83180164214,455359.5374431073,-331374.9536414653,158289.53700000004
7,-1,3.0,8467190.0,965610.0,-24460.147002129474,1326409.3049832317,-1435843.1319853615,1404835.1810000003
7,-1,5.0,8467190.0,1466564.0,-221324.5464977742,2013076.711205856,-2363458.88970363,3345077.7619999996
7,-1,10.0,8467190.0,2322116.0,-537165.3577835223,3270146.6487535904,-4011658.21453711,9507216.677000001
7,-1,30.0,8467190.0,3899979.0,-835455.6689614673,5936068.773504957,-7114722.594466424,38247845.31399999
7,-1,60.0,8467190.0,4855377.0,-781388.9182310642,7914834.926966861,-9123497.021197923,79341055.34300002
8,1,0.1,8467190.0,26774.0,46620.49484358767,-36765.28022355765,7499.102620030012,1309.3790000000001
8,1,0.5,8467190.0,126119.0,130503.38680481813,-193127.60058133228,-73722.68577651416,32343.60900000001
8,1,1.0,8467190.0,281248.0,153810.82793318146,-432734.22799127933,-303673.2240580979,148841.1549999999
8,1,3.0,8467190.0,873524.0,-3258.5557338096787,-1280343.2979966174,-1360471.9657304266,1291762.6459999997
8,1,5.0,8467190.0,1324969.0,-190071.61403959643,-1947252.8364389867,-2253921.7224785825,3063237.503000001
8,1,10.0,8467190.0,2101595.0,-515827.129742915,-3187335.497165827,-3888102.986908744,8703668.124999998
8,1,30.0,8467190.0,3572832.0,-935018.479587221,-5796574.287744615,-7046001.983331833,35689586.79799999
8,1,60.0,8467190.0,4517292.0,-1014161.7245663858,-7788246.075548926,-9199929.49611531,76493518.538
8,-1,0.1,8467190.0,31428.0,53947.9545188024,41003.96648560194,10178.324033200483,1487.9499999999998
8,-1,0.5,8467190.0,129241.0,133234.05340316205,195462.09480913208,-73601.24940597008,32059.791000000012
8,-1,1.0,8467190.0,282578.0,151980.301811064,434471.4489243189,-307358.0111132549,147443.826
8,-1,3.0,8467190.0,908482.0,-2861.6717841025998,1277955.375947384,-1360763.4637314857,1332716.927
8,-1,5.0,8467190.0,1388435.0,-186466.85117484577,1945078.3941406028,-2253727.525315448,3193103.2749999994
8,-1,10.0,8467190.0,2213948.0,-484158.58678807894,3184109.822302564,-3863095.833090645,9143531.530000003
