feat,side,h,s_dec,q_dec,n,n_fill,sum_as,sum_as2,sum_hs,sum_hs_post,sum_imp,sum_edge,sum_sprT,sum_wait
obi,1,1.0,1,3,58923.0,7807.0,-9640.783276991819,56331.774970045044,3488.0322823210845,8492.73178324905,-4979.2528962156275,1645.918483095786,42919.29731348975,3188.9649999999992
obi,1,3.0,1,3,58923.0,14459.0,-17589.102279254166,239936.946315502,6944.199779354118,15257.39017001575,-8228.07802618264,-2945.1378394479743,42919.29731348975,15762.658999999998
obi,1,5.0,1,3,58923.0,18914.0,-23616.859470597403,483574.71528901835,9409.255621198028,19805.54673267025,-10245.61451343939,-9307.999206409773,42919.29731348975,33247.45799999998
obi,1,10.0,1,3,58923.0,26042.0,-32361.072574293776,1201263.70159637,13817.810934888312,27428.549090666475,-13381.23490616601,-22641.749711263143,42919.29731348975,84847.065
obi,1,30.0,1,3,58923.0,38230.0,-49633.457599779,4874954.805155848,21968.668807649578,40926.6497099741,-18592.268162786902,-50144.96159624657,42919.29731348975,308095.40400000004
obi,1,60.0,1,3,58923.0,44287.0,-57833.63811285542,10869681.997120969,26030.772445128845,47540.647189429765,-21040.53211974427,-65653.97109509654,42919.29731348975,569133.4109999998
obi,1,0.1,1,4,50792.0,1055.0,-991.608007151571,2522.868257282445,535.9989240389356,1263.100052166962,-724.3388470420892,534.1306087269433,35991.52080614072,50.203999999999986
obi,1,0.5,1,4,50792.0,3451.0,-4058.8170861718477,16492.31205742493,1451.480054764241,3826.836326108741,-2361.8439965813864,1164.2803593089043,35991.52080614072,720.3489999999999
obi,1,1.0,1,4,50792.0,5588.0,-6969.201921232692,38994.8682895001,2383.9254442326264,6063.2650608260765,-3656.083985082958,1150.3849748500995,35991.52080614072,2280.1809999999996
obi,1,3.0,1,4,50792.0,10736.0,-13051.798790657556,152379.4166963254,5040.724169809993,11429.50581476723,-6313.109698604255,-1968.085324597527,35991.52080614072,12059.953000000003
obi,1,5.0,1,4,50792.0,14208.0,-16590.03880448566,315128.34989620745,6963.422012739787,15064.66210114104,-7980.220213868617,-6287.394780272293,35991.52080614072,25662.904
obi,1,10.0,1,4,50792.0,20271.0,-24014.691902316306,814515.4449000485,10562.836138938328,21557.386115172143,-10795.434395590995,-17866.88707321324,35991.52080614072,69561.82599999999
obi,1,30.0,1,4,50792.0,30921.0,-36405.66952264957,3488490.8644173243,17447.62504021457,33027.39616003781,-15295.641091243882,-43437.2865273711,35991.52080614072,264718.80600000016
obi,1,60.0,1,4,50792.0,36436.0,-46623.21200427544,7819155.547433821,21058.812502231052,39024.091524766016,-17599.421345532595,-58012.96952628933,35991.52080614072,502714.90099999995
obi,1,0.1,1,5,42774.0,783.0,-614.8173712102965,1161.9200942811185,392.5413686716517,903.6216275591643,-506.33510580333984,390.14532431052606,30101.129378040896,37.00000000000001
