feat,side,h,s_dec,q_dec,n,n_fill,sum_as,sum_as2,sum_hs,sum_hs_post,sum_imp,sum_edge,sum_sprT,sum_wait
obi,1,0.1,0,3,46282.0,1924.0,-1971.703124651738,4454.087115134249,908.6900990181125,2381.855801977743,-1458.267217240539,901.6568429846895,31968.50966687701,89.224
obi,1,0.5,0,3,46282.0,5532.0,-7587.85504911219,28366.531719971328,2262.0313645881547,6507.998642577018,-4228.621300672778,1849.9401014415457,31968.50966687701,1072.3119999999992
obi,1,1.0,0,3,46282.0,8175.0,-11127.59170111897,57894.27334364654,3412.3027979708154,9361.959968664589,-5915.5921192931155,1987.295771162995,31968.50966687701,2994.9570000000012
obi,1,3.0,0,3,46282.0,14070.0,-18440.215576573803,207829.60149939853,6426.94803244551,15633.033388100348,-9121.696422598034,-722.0256672901567,31968.50966687701,13988.576999999996
obi,1,5.0,0,3,46282.0,17643.0,-22950.844727991804,401597.22350767424,8446.884345949595,19303.248928204637,-10750.772303701955,-4378.9307660454715,31968.50966687701,27915.468999999997
obi,1,10.0,0,3,46282.0,23168.0,-30780.946065180844,945435.3230219841,11803.15412029318,25201.69587906629,-13243.297789036342,-12460.083242876575,31968.50966687701,67741.50600000001
obi,1,30.0,0,3,46282.0,32226.0,-43122.32330343072,3614370.214126232,17974.289515053086,35376.81193142129,-17166.53714094571,-29063.681259781042,31968.50966687701,232576.243
obi,1,60.0,0,3,46282.0,36467.0,-52705.119840489424,7798521.589123109,21077.30624362873,40232.81848428697,-18899.46008972126,-38466.46631287312,31968.50966687701,416968.835
obi,1,0.1,0,4,36165.0,1444.0,-1395.3858122793429,3342.7960936403733,706.8856278648045,1741.7287069072597,-1033.5218859519357,700.4269210962864,24024.932824497297,68.48200000000003
obi,1,0.5,0,4,36165.0,3977.0,-5389.59610343811,19448.44392048164,1593.6073253198338,4631.995091735368,-3033.7423094692535,1353.1215862114602,24024.932824497297,753.9840000000005
obi,1,1.0,0,4,36165.0,5929.0,-8284.208822628136,40030.42048163257,2392.025770963054,6811.891726435453,-4402.9405014637005,1436.5673445866707,24024.932824497297,2180.1179999999995
obi,1,3.0,0,4,36165.0,10029.0,-14175.40699078675,141968.72207792898,4350.021926543425,11238.851975150443,-6832.920453258408,-643.9426681107315,24024.932824497297,9759.034000000001
obi,1,5.0,0,4,36165.0,12659.0,-17191.12379140507,256893.533980876,5802.959636807309,14064.58658132989,-8182.105493529009,-3376.432144011664,24024.932824497297,20001.370000000003
obi,1,10.0,0,4,36165.0,16989.0,-24455.753251445538,628798.8105058854,8396.23233094301,18836.533606185552,-10330.596944730007,-9825.960861370124,24024.932824497297,51231.693999999996
obi,1,30.0,0,4,36165.0,24370.0,-35664.9149704439,2447597.303476322,13130.557729396145,26779.267984888076,-13483.815457909612,-23905.276177947733,24024.932824497297,185351.22199999998
obi,1,60.0,0,4,36165.0,27736.0,-44390.46171949211,5469443.139008978,15421.076719583793,30431.47171729504,-14804.134387426599,-31371.530731889157,24024.932824497297,330272.5659999999
obi,1,0.1,0,5,29933.0,1095.0,-1059.619275301424,2327.5276181274185,488.93247263710333,1286.1550306794868,-796.0602492851601,480.9273003987807,19461.388732693995,52.271
obi,1,0.5,0,5,29933.0,3015.0,-4054.6102614209294,14185.120156626434,1114.7552343250745,3396.529534022815,-2280.008861161932,924.0725731974709,19461.388732693995,579.2879999999997
obi,1,1.0,0,5,29933.0,4488.0,-6286.596471629669,28117.883637573188,1643.8673617874174,4926.674622580805,-3278.325721463489,1000.9943636659187,19461.388732693995,1653.869
obi,1,3.0,0,5,29933.0,7802.0,-10618.595107765463,97749.61403531377,3135.8560319868457,8408.380361415866,-5252.80018572975,-197.9113098205798,19461.388732693995,7811.218000000001
