bucket,visit,dwell_h,vol_usd,liq_usd,n_liq
800.0,17,0.003105,101999.93913999999,128.77906,2
800.0,18,0.34613083333333333,4563762.665719999,0.0,0
800.0,19,0.06620972222222221,6185657.26497,12272.065340000001,10
800.0,20,0.35251388888888885,45473590.74032,147319.18863,89
800.0,21,0.24057861111111115,18863603.047620002,1032.8503699999999,1
800.0,22,0.605055,14657489.919410001,1906.69255,4
800.0,23,2.2104363888888887,37589129.15783,63277.98266,9
800.0,24,0.44394833333333333,22167167.85079,414.06,1
800.0,25,0.11259166666666667,23595659.598739997,1569.6419999999998,4
800.0,26,0.019989722222222225,1166500.45405,0.0,0
800.0,27,0.1210177777777778,2194567.73467,0.0,0
800.0,28,0.7824644444444445,14897670.00138,0.0,0
800.0,29,0.3370116666666667,28747895.97461,0.0,0
810.0,1,0.0101575,590851.63677,195549.27118,80
810.0,2,0.03039305555555555,2534462.29875,0.0,0
810.0,3,0.4891569444444444,2843187.51145,0.0,0
810.0,4,3.4582450000000002,18652208.27833,85376.04661,29
810.0,5,0.10788222222222221,1452447.34651,0.0,0
810.0,6,0.15116611111111114,1848505.9036599998,0.0,0
810.0,7,0.061929722222222226,69016.69415000001,0.0,0
810.0,8,0.012155555555555557,658322.31163,0.0,0
810.0,9,0.9449141666666666,14843854.478890002,0.0,0
810.0,10,0.21541,6540987.81988,335055.34631000005,160
810.0,11,0.009331111111111111,101727.22427,0.0,0
810.0,12,3.2090663888888886,42881508.045499995,169274.2746,80
810.0,13,0.1534852777777778,16991779.89157,9105.05532,3
810.0,14,2.5033491666666667,134275452.42086,139079.68175000002,47
810.0,15,0.5377477777777778,26394009.893570002,177.75394,4
810.0,16,0.004299444444444445,60485.3759,0.0,0
810.0,17,0.7536938888888888,10793296.545400001,0.0,0
810.0,18,1.4044605555555556,40982428.45081,0.0,0
810.0,19,0.09821444444444445,13549200.74412,3524.4168099999997,12
810.0,20,0.019441944444444446,4148855.18238,19.65792,2
810.0,21,13.487251666666667,48577880.45866001,7724.711229999999,4
810.0,22,10.413714722222222,14929365.84148,19327.726850000003,15
810.0,23,1.4204908333333333,18492962.526159998,0.0,0
810.0,24,1.4410333333333332,40943377.619389996,142.32206,2
810.0,25,0.5668486111111111,5700685.28709,0.0,0
820.0,1,0.05684194444444445,3860188.5134499995,0.0,0
820.0,2,2.544633888888889,33087143.51601,358693.61192,107
820.0,3,1.302527777777778,6933977.57069,0.0,0
820.0,4,0.5156463888888889,10122478.97846,0.0,0
820.0,5,1.2948105555555554,33311554.81758,0.0,0
820.0,6,0.03150611111111112,579002.1000699999,6687.51674,5
820.0,7,4.881038055555556,125498632.8465,171868.41054000004,38
820.0,8,0.6564552777777778,27605136.06597,23500.861650000003,12
820.0,9,2.4420769444444446,61178756.26516,0.0,0
820.0,10,1.0196358333333333,2794576.28548,33410.65984,6
820.0,11,0.8903047222222221,35748672.344000004,81196.73489,9
820.0,12,0.8180030555555555,11660035.9421,0.0,0
820.0,13,0.10802944444444444,903124.67432,0.0,0
820.0,14,0.5052969444444444,370251.20537999994,0.0,0
820.0,15,1.8944272222222223,1229294.45227,0.0,0
820.0,16,2.9931497222222223,6152865.89202,0.0,0
820.0,17,0.3941727777777778,6511181.19226,0.0,0
820.0,18,0.3802991666666667,12308052.269280002,6155.6066599999995,8
820.0,19,3.9604475000000003,39331415.92278,0.0,0
820.0,20,3.7703994444444437,25717662.32676,0.0,0
820.0,21,0.011018055555555555,1357180.87242,1214.1436999999999,3
830.0,1,0.06955472222222223,6572356.87722,0.0,0
830.0,2,0.8622391666666666,5839587.58759,0.0,0
830.0,3,1.4768791666666665,27087021.62607,223023.91178999998,50
830.0,4,0.8761263888888888,6504020.6761799995,0.0,0
830.0,5,0.26296722222222224,8235212.493229999,0.0,0
830.0,6,0.8245325,23817554.16194,0.0,0
830.0,7,0.9153522222222222,5333435.8338,1184.42407,2
830.0,8,5.045896388888889,4266984.098139999,0.0,0
830.0,9,2.1147044444444445,2121339.54164,0.0,0
830.0,10,1.4788669444444444,42581438.07095,498158.42244,98
830.0,11,0.07633555555555556,2949423.028,0.0,0
830.0,12,1.1522536111111112,14176655.420279998,0.0,0
830.0,13,0.4763808333333333,20408732.610359997,2539.6161,1
830.0,14,0.7667763888888889,22885441.18378,0.0,0
830.0,15,0.10929583333333333,13781946.336180001,0.0,0
830.0,16,0.030413611111111113,2282700.6952799996,0.0,0
830.0,17,2.827124722222222,94458536.13054,135107.08571,22
830.0,18,4.418439166666667,11323432.77947,0.0,0
830.0,19,3.5225097222222224,6042645.24457,0.0,0
830.0,20,0.5349511111111112,9237884.1216,0.0,0
830.0,21,0.04027222222222223,450993.92256,0.0,0
830.0,22,2.4978708333333333,11732537.729150001,0.0,0
830.0,23,0.5316855555555556,6760197.12297,27.553350000000002,1
830.0,24,3.2012152777777776,26012614.88415,0.0,0
830.0,25,0.5561463888888889,4204536.68309,0.0,0
830.0,26,0.6805286111111111,6859744.827810001,0.0,0
830.0,27,0.012306666666666667,555084.06546,0.0,0
830.0,28,0.05909916666666666,9266725.420370001,7978.99028,13
840.0,1,0.11899444444444444,9147335.55151,0.0,0
840.0,2,1.7613094444444444,7959368.91728,0.0,0
840.0,3,2.8335991666666662,33971741.77279,130544.8662,42
840.0,4,0.6387658333333334,9627035.66653,0.0,0
840.0,5,0.3452058333333333,6653824.847589999,0.0,0
840.0,6,0.9753444444444445,18648409.78391,51.64138,1
840.0,7,0.11808333333333335,12298021.64071,3192.9092,1
840.0,8,18.919070277777774,32613751.466999996,0.0,0
840.0,9,0.003195277777777778,8035.27109,0.0,0
840.0,10,0.05771083333333333,56578.87997000001,0.0,0
840.0,11,12.205093333333332,18889261.03081,0.0,0
840.0,12,1.704726388888889,2059291.19691,0.0,0
840.0,13,0.011869166666666667,37477.56968,0.0,0
840.0,14,0.10659055555555555,1248867.58786,0.0,0
840.0,15,0.23017805555555557,2860004.19366,30718.363179999997,22
