metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
kappa_depth,1/s,売り,閉場日,3s,3000,1,9138,9411,25495,0.49264111272844896,0.5101598985556552,-0.017518785827206285,-0.03388601650343521,0.0013276526984335236
kappa_depth,1/s,売り,閉場日,3s,3000,2,10579,11596,33932,0.4770687711386697,0.5101598985556552,-0.033091127416985555,-0.046190990918460795,-0.023775230286857095
kappa_depth,1/s,売り,閉場日,3s,3000,3,9325,10085,28466,0.48042246264811955,0.5101598985556552,-0.029737435907535692,-0.04751694124208611,-0.01652940663599582
kappa_depth,1/s,売り,閉場日,3s,3000,4,3824,3944,11016,0.4922760041194645,0.5101598985556552,-0.01788389443619076,-0.03350224629040765,-0.0018693581278481624
kappa_depth,1/s,売り,閉場日,3s,3000,5,3020,2989,8503,0.5025794641371276,0.5101598985556552,-0.007580434418527626,-0.027565134165392326,0.014441157637089258
kappa_depth,1/s,売り,閉場日,3s,3000,6,142,109,373,0.5657370517928287,0.5101598985556552,0.05557715323717349,-0.028237697556536823,0.11543840344365427
kappa_depth,1/s,売り,閉場日,5s,5000,0,15786,11780,34891,0.5726619748966117,0.5077024165875739,0.06495955830903788,0.038987217697320435,0.09513587747559749
kappa_depth,1/s,売り,閉場日,5s,5000,1,9746,10205,25492,0.4884968172021453,0.5077024165875739,-0.019205599385428596,-0.030532306026081403,-0.0015401401323320504
kappa_depth,1/s,売り,閉場日,5s,5000,2,11940,12931,33929,0.4800771983434522,0.5077024165875739,-0.027625218244121674,-0.03937209009989368,-0.019413776689890982
kappa_depth,1/s,売り,閉場日,5s,5000,3,10451,11162,28465,0.48355156618701706,0.5077024165875739,-0.02415085040055681,-0.04393206917344048,-0.008489576604948914
kappa_depth,1/s,売り,閉場日,5s,5000,4,4235,4392,11014,0.49090066071635563,0.5077024165875739,-0.016801755871218238,-0.034014795564453575,-0.002677861846227658
kappa_depth,1/s,売り,閉場日,5s,5000,5,3327,3342,8502,0.4988753936122357,0.5077024165875739,-0.008827022975338161,-0.02783824500536029,0.008510377254795325
kappa_depth,1/s,売り,閉場日,5s,5000,6,147,132,373,0.5268817204301075,0.5077024165875739,0.019179303842533635,-0.046163955049112304,0.07184269117515725
kappa_depth,1/s,売り,閉場日,10s,10000,0,16044,13471,34886,0.5435880060985939,0.4993314564283994,0.044256549670194545,0.026554253549612463,0.06872734979519299
kappa_depth,1/s,売り,閉場日,10s,10000,1,10513,11096,25485,0.48651025035864687,0.4993314564283994,-0.012821206069752511,-0.02098457683526306,-0.001608453713416171
kappa_depth,1/s,売り,閉場日,10s,10000,2,13423,14686,33925,0.4775338859440037,0.4993314564283994,-0.02179757048439568,-0.03567530028365108,-0.0118717289323773
kappa_depth,1/s,売り,閉場日,10s,10000,3,11708,12331,28460,0.4870418902616581,0.4993314564283994,-0.012289566166741261,-0.030600621230831314,0.0015538816294770486
kappa_depth,1/s,売り,閉場日,10s,10000,4,4617,4864,11009,0.48697394789579157,0.4993314564283994,-0.012357508532607808,-0.02645295557909766,0.00039004711321277203
