feature,family,finite_rate,zero_rate,p05,p50,p95,std
add_intensity,11 指値の到着,1.0,0.008996212121212122,2.799999952316284,21.5,103.69999694824219,44.17808392736698
bbo_add_int,11 指値の到着,1.0,0.1722286522633745,0.0,35.22450065612793,431.2698120117187,230.87773698734674
deep_add_int,11 指値の到着,1.0,0.009845562102506547,221.66795654296877,1871.0140380859375,9119.827392578123,6691.666021370103
repl_intensity,11 指値の到着,1.0,0.008996212121212122,233.73369674682618,1945.6094970703125,9461.26962890625,6817.718717763085
arrival_acc,11 指値の到着,1.0,0.11127712308267863,-7.0,0.0,7.0,4.699446224209615
arrival_burst,11 指値の到着,1.0,0.9798996913580247,0.0,0.0,0.0,0.14034345811071008
trade_buy_vol,12 攻撃的な約定フロー,1.0,0.9171851618032174,0.0,0.0,1.5004999995231556,49.93209066070842
trade_buy_cnt,12 攻撃的な約定フロー,1.0,0.9171851618032174,0.0,0.0,1.0,1.082475631438482
trade_sell_vol,12 攻撃的な約定フロー,1.0,0.9260013327721661,0.0,0.0,1.4500000476837158,48.913571771081806
trade_sell_cnt,12 攻撃的な約定フロー,1.0,0.9260013327721661,0.0,0.0,1.0,1.1421641687097086
trade_dollar_imb,12 攻撃的な約定フロー,1.0,0.8552276234567902,-124.1840003967285,0.0,128.75199966430662,7472.195694880126
trade_imb,12 攻撃的な約定フロー,1.0,0.8553193976805088,-1.0,0.0,1.0,0.3728624392768495
signed_vol,12 攻撃的な約定フロー,1.0,0.8553193976805088,-1.0,0.0,1.0004999995231556,67.74369399167458
