coin,regime,h,n_trades,spread_bp,cost_bp,size_usd,gross_bp,gross_lag1_bp,se_bp,t_gross,rand_gross_bp,rand_net_bp,net_bp,t_net,total_usd,rand_total_usd,n_days
KIOXIA,3,60,63048,13.608528010885726,15.188528010885726,30.005760000000002,2.152652907099095,2.1170820996699957,0.27247966877833946,7.76968831899245,0.03979822994183306,-15.148729780943892,-13.07144591121573,-47.97218805286082,-2472.860263459551,-2865.8414816252234,47
KIOXIA,3,300,63036,13.608528010885726,15.188528010885726,30.005760000000002,4.126825246906561,4.071085832284666,0.8389365810492564,4.852674116549986,0.3927772822116573,-14.795750728674069,-11.11744217860106,-13.25182669314109,-2102.800915783948,-2798.5320438052254,47
KIOXIA,4,60,52861,13.608528010885726,15.188528010885726,30.005760000000002,1.567741340347551,1.7631650544944766,0.28878437913718774,6.10547239349425,-0.2724410888415859,-15.460969099727311,-13.425362956391249,-46.48922838729271,-2129.4431083054665,-2452.317617339703,47
KIOXIA,4,300,52855,13.608528010885726,15.188528010885726,30.005760000000002,1.6112161973047303,1.7943105315289811,0.6317331582900675,2.8402981670072522,-0.6088034194889503,-15.797331430374676,-13.394217479356744,-21.202334092469208,-2124.2618746003686,-2505.384799798146,47
KIOXIA,5,60,50495,13.608528010885726,15.188528010885726,30.005760000000002,2.207643295071834,2.3850103850593176,0.3211460702807002,7.42655945618354,-0.023457713066259277,-15.211985723951985,-12.803517625826409,-39.868205812499575,-1939.913259394883,-2304.830099823086,47
KIOXIA,5,300,50494,13.608528010885726,15.188528010885726,30.005760000000002,4.092423307804873,4.287652587252981,0.837033124676699,5.1224407503694325,0.4059206564725641,-14.782607354413162,-10.900875423632744,-13.023230625243377,-1651.6034579136324,-2239.728872655249,47
SKHX,2,60,180229,1.7002465357480696,3.28024653574807,980.056,0.8474358943330105,0.7510240265444924,0.12342257390363692,6.0849810759161445,0.022589512908424595,-3.2576570228396453,-2.5292225092035774,-20.49238181645998,-44674.79857366687,-57541.466117696305,99
SKHX,2,300,180220,1.7002465357480696,3.28024653574807,980.056,1.165229447352611,1.0690287125727165,0.3636914799138801,2.9393834379234174,0.0009267022880612071,-3.2793198334600087,-2.211217823175353,-6.079927480563899,-39055.78788886701,-57921.213592358115,99
SKHX,3,60,176687,1.7002465357480696,3.28024653574807,980.056,0.9057653745941634,0.8055393025872049,0.10290498167753806,7.827991312523957,0.039170641933283665,-3.241075893814786,-2.4747072331608653,-24.048468721520024,-42852.81108888106,-56123.49256561253,99
SKHX,3,300,176678,1.7002465357480696,3.28024653574807,980.056,0.881448421429639,0.7890833003272664,0.30497631508677886,2.5873592842865136,0.18664789866575549,-3.0935986370823145,-2.4911632354208035,-8.168382632310186,-43135.571083485724,-53567.00115683007,99
SKHX,4,60,119618,1.7002465357480696,3.28024653574807,980.056,0.4688622751933524,0.42306120132674485,0.1590565460934634,2.6598163465598543,-0.041567654792548175,-3.321814190540618,-2.857185334421325,-17.963330680790786,-33495.45185906925,-38942.40459783172,99
SKHX,4,300,119613,1.7002465357480696,3.28024653574807,980.056,0.7424760813345554,0.6582038884069621,0.3324223990280315,1.980022676966058,-0.034404136840509594,-3.3146506725885794,-2.622042647341108,-7.88768342629043,-30737.534273456557,-38856.800729974144,99
SKHX,5,60,116133,1.7002465357480696,3.28024653574807,980.056,0.4198874568141973,0.31094008045967897,0.17292612966865809,1.7981092912648189,-0.021755930871696732,-3.3020024666197667,-2.969306455288391,-17.170953059423972,-33795.70879706946,-37582.34978081718,99
SKHX,5,300,116132,1.7002465357480696,3.28024653574807,980.056,0.20358513300745004,0.1294894595574893,0.36626278093948644,0.3535425008933229,-0.07356076801090133,-3.353807303758971,-3.1507570761905805,-8.602449498441244,-35860.613696508444,-38171.64739277229,99
GOLD,2,60,42297,0.24195206929595287,1.821952069295953,4467.4,0.5099364486985876,0.41908215269561827,0.06694215862292065,6.260362099409903,0.03023543994470623,-1.7917166293512468,-1.4028699166003347,-20.956448753058275,-26508.295752408387,-33855.85060548571,99
GOLD,2,300,42297,0.24195206929595287,1.821952069295953,4467.4,0.3860705246251409,0.3025499268265083,0.17383549352295866,1.7404381619369933,-0.008554595084567842,-1.8305066643805208,-1.5194021424694446,-8.740459797232234,-28710.260932124245,-34588.817866836725,99
GOLD,3,60,39250,0.24195206929595287,1.821952069295953,4467.4,0.36153124887075216,0.27762615914719546,0.06385209024321024,4.347957256993901,0.008706393218096322,-1.8132456760778566,-1.5443259101487574,-24.18598834065537,-27079.052166169342,-31794.437903242597,99
GOLD,3,300,39250,0.24195206929595287,1.821952069295953,4467.4,0.47627050101645174,0.39348747532473977,0.18991054440704258,2.07196223123537,0.07013023734874375,-1.7518218319472092,-1.4284645939712133,-7.5217760995383705,-25047.476703894965,-30717.398744260772,99
GOLD,4,60,67781,0.24195206929595287,1.821952069295953,4467.4,0.39853905221231334,0.3313409599023459,0.03293687400114995,10.05987878178049,-0.018454218038580442,-1.8404062873345335,-1.490611109393607,-45.25660538828196,-45136.42575877869,-55728.39302670837,99
GOLD,4,300,67779,0.24195206929595287,1.821952069295953,4467.4,0.541872223404955,0.4724141573252595,0.10285793844494785,4.592879893058593,-0.005499685543468721,-1.8274517548394218,-1.3495379119706934,-13.120405992708088,-40863.45528471612,-55334.490721946015,99
GOLD,5,60,66743,0.24195206929595287,1.821952069295953,4467.4,0.35076231222587095,0.285582846272585,0.03556027902710263,8.030950658596495,0.035320959567266004,-1.7866311097286869,-1.5363692230233679,-43.20464476255679,-45809.56440868156,-53271.564978769195,99
GOLD,5,300,66743,0.24195206929595287,1.821952069295953,4467.4,0.36213686077267393,0.2933414880438697,0.09200833481470455,3.1882055971845347,0.034572757725195205,-1.7873793115707577,-1.5286105812520834,-16.613827261742646,-45578.22678838861,-53293.87393937672,99
GOOGL,2,60,111051,1.6514367499725384,3.2314367499725387,565.13918,0.2916114405493416,0.23990370206137793,0.031446180215081526,7.629025224065866,-0.02834711005861561,-3.2597838600311544,-2.991533047911161,-95.13184200593074,-18774.64334931906,-20458.16589279712,99
GOOGL,2,300,111051,1.6514367499725384,3.2314367499725387,565.13918,0.3034612766913283,0.25215085384476327,0.12646937499343824,1.9937700637632305,-0.035761269002765696,-3.2671980189753045,-2.9792858961277755,-23.557370282587016,-18697.781117448147,-20504.696613896383,99
GOOGL,3,60,105423,1.6514367499725384,3.2314367499725387,565.13918,0.2993026497257765,0.251662604829501,0.03401965419636498,7.3975650480418835,-0.020147890429504323,-3.251584640402043,-2.979774145143038,-87.5897834805572,-17753.09738324693,-19372.50810267582,99
GOOGL,3,300,105420,1.6514367499725384,3.2314367499725387,565.13918,0.3690180584127508,0.31747332507271714,0.1183944560801397,2.681488099897376,0.004213940880717835,-3.227222809091821,-2.9139634248998214,-24.612330014231382,-17360.511841048617,-19226.81640826252,99
GOOGL,4,60,104319,1.6514367499725384,3.2314367499725387,565.13918,0.35937656874311763,0.30050783221805977,0.03370784906069333,8.915069949345462,0.01842003858949612,-3.213016711383043,-2.930928917754479,-86.95093277761916,-17279.21936847821,-18942.261019796173,99
GOOGL,4,300,104312,1.6514367499725384,3.2314367499725387,565.13918,0.3988188638223579,0.3350707598903703,0.11687675291969295,2.8668725945920173,-0.03014485120803775,-3.2615816011805765,-2.8963659900821686,-24.78136941460281,-17074.308683294403,-19227.283860190233,99
GOOGL,5,60,101800,1.6514367499725384,3.2314367499725387,565.13918,0.39004864140875195,0.3251407628057725,0.03390495768376663,9.589770494285169,-0.014374610626306732,-3.2458113605988452,-2.906295987166766,-85.71890914225422,-16720.26042183162,-18673.53203837259,99
GOOGL,5,300,101797,1.6514367499725384,3.2314367499725387,565.13918,0.49342476320083145,0.4249171704437932,0.12193613485891198,3.484751841080168,0.01288178782687801,-3.2185549621456606,-2.8065195795287456,-23.016307534891695,-16145.75926732524,-18516.17711364222,99
AAPL,2,60,86526,1.7183606839079428,3.298360683907943,500.10394,0.19267264183606705,0.158683136340136,0.029840252425039432,5.317754490809282,0.00539580120133141,-3.2929648827066114,-3.139677547567807,-105.21618593726284,-13586.010646950768,-14249.315504117325,99
AAPL,2,300,86526,1.7183606839079428,3.298360683907943,500.10394,0.30526798901753294,0.2706061510247577,0.11073569126264213,2.4437121215321262,0.062233810272020865,-3.236126873635922,-3.0277545328831854,-27.34217394915591,-13101.6974504182,-14003.366108140637,99
AAPL,3,60,84001,1.7183606839079428,3.298360683907943,500.10394,0.2190008997119536,0.17251936164954365,0.040962433586458485,4.21164824803221,-0.021345725390698556,-3.3197064092986412,-3.1258413222583994,-76.30995154769691,-13131.419037596484,-13945.831361266923,99
AAPL,3,300,84001,1.7183606839079428,3.298360683907943,500.10394,0.22670855068862325,0.18294564711599234,0.12705545350299588,1.4398881911171062,-0.04115727868310959,-3.3395179625910525,-3.1154150367919504,-24.52012055286152,-13087.619014066619,-14029.058173266567,99
AAPL,4,60,95967,1.7183606839079428,3.298360683907943,500.10394,0.25558909264994745,0.2067432150958098,0.03022535580877381,6.84005893607368,-0.009201948310884396,-3.3075626322188274,-3.091617468812133,-102.2855607845218,-14837.746511152924,-15874.142387182545,99
AAPL,4,300,95964,1.7183606839079428,3.298360683907943,500.10394,0.36029520787783387,0.31969212276483067,0.12084947569709696,2.6453745117283143,0.039822914574373675,-3.2585377693335693,-2.9786685611431123,-24.647757418567483,-14295.218562485117,-15638.366152714783,99
AAPL,5,60,92909,1.7183606839079428,3.298360683907943,500.10394,0.23521455394089155,0.1827201308005762,0.03084580321331186,5.923662598019858,-0.02981480429843659,-3.3281754882063797,-3.1156405531073665,-101.00695162843988,-14476.561169507073,-15464.086827930501,99
AAPL,5,300,92906,1.7183606839079428,3.298360683907943,500.10394,0.20130802687575433,0.14822698848624993,0.12015603576788093,1.233620829274002,0.007991089127982237,-3.2903695947799605,-3.150133695421693,-26.217024182681627,-14636.358029083975,-15287.93127326764,99
