dt,cfg,qty,lat_open_ms,lat_cancel_ms,n_quote,n_fill,volume,pnl_usd,end_inv
2026-07-24,lat300,0.37243947858473,300,300,352919,5165,1857.112662942309,2.980403323466163,-1.8709497206703833
2026-07-24,open100only,0.37243947858473,100,0,353663,1218,434.9731843575472,1.3539270905296945,1.6692737430167606
2026-07-24,cancel100only,0.37243947858473,0,100,357565,6936,2531.8642458098143,-0.3629323417696497,-1.4441340782122873
2026-07-24,q1_lat0,1.0,0,0,354693,5410,5169.399999999989,0.8865963098511145,-3.6000000000000103
2026-07-24,q1_lat100,1.0,100,100,353058,2869,2612.6,-1.5798161077561161,-0.800000000000008
2026-07-25,lat0,0.37243947858473,0,0,66755,1838,646.3590316573628,-0.7703067437670796,-1.5314711359404127
2026-07-25,lat50,0.37243947858473,50,50,70939,613,216.73854748603458,-0.5898909864757229,0.7519553072625704
2026-07-25,lat100,0.37243947858473,100,100,68447,733,259.60689013035585,-0.022677787146307082,0.30707635009311046
2026-07-25,lat300,0.37243947858473,300,300,67542,1453,494.9100558659253,0.109922490712421,-1.3070763500931113
2026-07-25,open100only,0.37243947858473,100,0,72768,353,126.00502793296,1.1319239857284416,0.1897579143389197
2026-07-25,cancel100only,0.37243947858473,0,100,65830,2151,755.107448789581,-1.6639135923981598,-1.6314711359404113
2026-07-25,q1_lat0,1.0,0,0,67146,1855,1628.0000000000084,-3.2314931518365313,-4.399999999999997
2026-07-25,q1_lat100,1.0,100,100,68212,764,653.6,-0.9889564990396309,1.0000000000000013
2026-07-26,lat0,0.37243947858473,0,0,71601,2037,736.6601489758032,-2.609868645222477,1.9480446927374289
2026-07-26,lat50,0.37243947858473,50,50,77043,771,262.5344506517706,0.4240769666028825,-0.8487895716946039
2026-07-26,lat100,0.37243947858473,100,100,77552,991,341.2947858473025,-0.7559474317508474,-0.41098696461825296
2026-07-26,lat300,0.37243947858473,300,300,74618,1651,581.0899441340854,-2.7831691859676226,1.2921787709497146
2026-07-26,open100only,0.37243947858473,100,0,75897,463,153.77188081936683,1.878280177628909,2.230726256983238
2026-07-26,cancel100only,0.37243947858473,0,100,71145,2441,879.3351955307415,-3.503424987487435,1.9858472998137775
