n_ticks,ts_min,ts_max,covered_ns,px_first,px_last,px_min,px_max,mp_tw,mid_tw,spread_bp_tw,spread_bp_med,dev_bp_tw_abs,dev_bp_ev_abs,dev_bp_p99,imb_tw,bid_sz_tw,ask_sz_tw,dwell_med,dwell_p99,gap_ns,n_all,n_crossed,n_locked,crossed_ns,dt,uncovered_ns
243485,1781827200011000000,1781913593038116516,86389664924648,78.19299146890026,77.51669716088328,74.83328320312499,78.61241666666668,77.08649218881682,77.08692926250681,2.3236646284412394,2.5818444696904668,0.6675745075631192,0.7948094066944059,3.187674948566911,0.4643732079015067,34.75040722508065,36.40255770256499,207318002.0,2629071010.0,0,243522,34,3,9495531748,2026-06-19,10324075352
143563,1781913600067000000,1781999999373958763,86393695124461,77.51676996805112,80.02271929824562,77.33841071428571,80.80945454545454,79.54277044677882,79.54317083877565,2.6785557965155555,2.754510510960618,0.6900667741359101,0.7469974112273154,3.1680036904689124,0.4832106109775423,46.46630728739758,36.4765000337189,294328335.0,7229484280.0,103071051511,143583,17,3,5078949210,2026-06-20,6237875539
79803,1782000000247983297,1782086399743601096,86379030777108,80.02639534883723,76.9794894736842,76.40613836762378,81.23953448275861,80.2365585684859,80.23760772767021,3.01641000264445,3.4929703970748354,0.7981333813204101,1.019174909870384,4.01178614140451,0.45271115705798887,249.19134915979402,26.261782845557278,336624718.0,13317814094.0,220326695685,79879,75,1,20349986034,2026-06-21,20721239595
229490,1782086400011847358,1782172799418539779,86385700911097,76.972,80.51587755102041,74.58131872146119,82.00889318898645,79.79446204184394,79.79419907719135,2.0068457789462775,2.120322039499842,0.6215345319709955,0.750910457552589,2.917540634088802,0.519840189080373,129.29043731147272,86.51389873402525,200684767.5,3514278721.0,0,229561,70,1,13927321740,2026-06-22,14287241545
354964,1782172800155591085,1782259199787419542,86340984782934,80.50786206896551,70.5215,68.67100182815358,80.53289655172415,72.05795372644319,72.05776443863331,2.143167460863922,2.2541561003106994,0.6437446134332717,0.8024196351894091,3.4694266266364906,0.5217150898980326,110.83504187238402,91.790613234623,137685772.0,1509431630.0,0,355211,223,24,52570150404,2026-06-23,58859625981
350261,1782259200195735666,1782345599891039297,86363336436601,70.5205,80.17592307692308,67.18622500000001,81.3804339314845,72.2611307729672,72.2614290013352,2.5217997017298033,2.617115938236163,0.8026233986304822,0.9704490030636949,4.154875017921626,0.4820946162006348,101.16028734475196,127.55413326404758,144424017.0,1547398084.0,0,350453,176,16,34800863883,2026-06-24,36467827733
369875,1782345600303116004,1782431999531429568,86380197210702,80.19198421052631,76.48348153214775,73.52508333333334,80.28069848535286,77.67384169135704,77.67396181848993,2.293152349941608,2.412560552094324,0.7317928543862644,0.8871614456497027,3.5905446697922394,0.49556696541225903,140.1417736879578,151.33592174613088,134160280.0,1692694183.0,0,370009,131,3,19247536464,2026-06-25,19499673294
327798,1782432000043426047,1782518399978370984,86372765161974,76.51188235294119,72.28795400183992,70.97641629584163,76.75802702702703,73.09559294463003,73.09548662426478,3.3175337668992952,3.546087647504394,1.0041038365298773,1.1232123551070863,3.646489554051298,0.5040963506165923,153.40014696702954,151.87411704491953,136582744.5,2109078679.0,0,327917,116,3,26432401497,2026-06-26,27191411979
71230,1782518400188000000,1782604798671350573,86379059714733,72.28706311112916,72.23914084507042,68.20321428571428,76.28506034482758,72.48100438774945,72.48146763071435,2.8027597547769596,3.3087018859602004,0.7324610035063579,0.8877326703618561,2.831528121792852,0.478588440407172,54.01987487868712,47.089363203558925,335242872.5,15612604447.0,4120294657351,71330,84,16,17226060356,2026-06-27,20752285267
114642,1782604800804113409,1782691199772112504,86382134212430,72.24044042553192,72.67315513126492,71.57706435643564,75.22746933149553,73.21087203687289,73.21204358321783,2.9210699977113137,3.378401205414318,0.8247482766038029,0.9986514500846151,3.405734846782073,0.4514118900636307,60.81218709380785,62.74681890232176,268888997.0,10230750474.0,0,114715,69,4,15790018834,2026-06-28,17061674161
339880,1782691200001000000,1782777599691608055,86358583214914,72.67316005733397,71.75644747081714,66.48104312823462,73.05036820465966,70.94774680445741,70.9484226789789,2.9139647537293913,3.0954960532413165,0.8736766883960637,0.9910251642532086,3.4868328727455657,0.4567668070509338,144.37937543213096,169.64158284056444,134542364.0,2132058296.0,0,340114,222,12,39255176785,2026-06-29,41415785086
279042,1782777600118183952,1782863999923445751,86387050215302,71.75471404635577,73.51748062015506,70.14829965947786,74.1929135572965,72.76449961845876,72.76481899921299,2.8709265435104476,3.0370799856417015,0.8208908831997986,0.9228444111860185,3.0248075179634912,0.48568412838394126,113.26336159947043,130.6805578136728,138239542.0,3043937217.0,0,279088,43,3,11423429381,2026-06-30,12831600746
320429,1782864000063000000,1782950399869037788,86380566705023,73.51909917355373,64.82954644808743,64.6473224610823,73.92831856540084,68.62140408191662,68.62104376575259,2.8220327097215527,2.9783621986263817,0.8500063557934692,0.9424043498831555,3.1472172575499373,0.5238268905662274,179.22591380135214,123.41540206026019,137239978.0,2287544536.0,0,320517,82,6,18693243159,2026-07-01,19370294977
426571,1782950400279545238,1783036799890119862,86388257383083,64.84984905660377,61.18643548387098,58.970511610201754,66.6470959377701,62.72332469004174,62.72333038174965,3.060966412604697,3.273092838940577,0.8916778900792443,1.0158655335031794,3.360172624963429,0.49976150837856115,151.0282539956547,142.09574502949073,132781796.0,1406361835.0,0,426645,70,4,10601220609,2026-07-02,11463071679
213652,1783036800164730257,1783123199551612607,86383277305209,61.19151864522751,65.30158088235295,59.69863318777293,65.45991301843318,64.14258773441858,64.14297057610656,2.3363689277146524,2.675543174610025,0.535366357974337,0.7756490232363578,3.1447234702623352,0.4712433409547716,109.84202204896309,140.01540400682504,135791495.5,5366049086.0,0,213726,67,7,15291697767,2026-07-03,16557964534
70319,1783123200153921808,1783209597326061548,86393398891036,65.29713481152993,65.1714820143885,64.26500290697675,65.32866666666668,64.91175056914017,64.91201031959478,2.328573284403774,2.4672701198176292,0.4530319551763572,0.6462877482928628,2.3957933192790417,0.4759781122886519,22.495230153571395,32.2588236008006,344072799.0,14759737359.0,179247251579,70338,19,0,6447187156,2026-07-04,6447187156
97855,1783209602235694801,1783295999905545146,86389100421291,65.16192567567568,65.39281286549709,64.88440983606559,66.39193803481852,65.53971577961374,65.53949094997834,2.1772789921882296,2.4299122194218845,0.4699350309695138,0.6758691125500663,2.6575398222457864,0.5131131270570777,36.77096013771446,69.33169427958697,338869876.0,11347306823.0,0,97883,24,4,7158917894,2026-07-05,8663883908
349282,1783296000026624168,1783382399983522195,86389085094622,65.38155555555555,62.21982504970178,62.065507567309226,67.22491871806781,65.07463514151056,65.07463525228096,2.1439235587795564,2.232990197173119,0.5928693864492623,0.7201542727537904,2.8293261140838752,0.49696670962171513,127.83500905181015,134.45121680374908,137093906.0,1638450180.0,0,349329,42,5,8948248598,2026-07-06,10888281210
