ts,best_bid,best_ask,bid_sz,ask_sz,mid,microprice,imbalance,spread_bp,stale_ns,dt
1785055560000000000,54.692,54.704,37.7,119.0,54.698,54.694887045309514,0.24058710912571796,2.193864492303275,1337121661,2026-07-26
1785055620000000000,54.723,54.726,2.3,3.2,54.7245,54.72425454545455,0.41818181818181815,0.5482005317545365,395154915,2026-07-26
1785055680000000000,54.73,54.733,1.8,14.2,54.7315,54.7303375,0.1125,0.5481304184975953,34156199193,2026-07-26
1785055740000000000,54.729,54.73,7.7,18.3,54.7295,54.72929615384616,0.29615384615384616,0.1827168163417662,3591079029,2026-07-26
1785055800000000000,54.765,54.768,21.8,1.4,54.7665,54.76781896551725,0.9396551724137931,0.5477801210594275,8672180335,2026-07-26
1785055860000000000,54.773,54.78,17.5,5.4,54.7765,54.77834934497817,0.7641921397379913,1.2779202760303956,2767711129,2026-07-26
1785055920000000000,54.773,54.78,20.1,5.4,54.7765,54.778517647058834,0.7882352941176471,1.2779202760303956,8735877,2026-07-26
1785055980000000000,54.779,54.78,74.4,5.4,54.7795,54.779932330827066,0.9323308270676691,0.182550041529709,12296401755,2026-07-26
1785056040000000000,54.783,54.784,24.5,14.4,54.783500000000004,54.78362982005142,0.6298200514138818,0.18253671269591562,3077983686,2026-07-26
1785056100000000000,54.817,54.821,163.0,1.8,54.819,54.820956310679605,0.9890776699029126,0.7296740181319948,2290495815,2026-07-26
1785056160000000000,54.852,54.858,18.2,3.5,54.855,54.85703225806452,0.8387096774193549,1.0937927262784117,71126995,2026-07-26
1785056220000000000,54.862,54.868,37.6,135.5,54.865,54.86330329289429,0.2172154823801271,1.0935933655336239,231036464,2026-07-26
1785056280000000000,54.816,54.817,20.0,4.7,54.816500000000005,54.81680971659919,0.8097165991902834,0.1824268240397817,2078435978,2026-07-26
1785056340000000000,54.817,54.822,1.8,18.2,54.819500000000005,54.817449999999994,0.09,0.9120842036141442,1064742532,2026-07-26
